name,address,city,state,zip,county,latitude,longitude
Utah College of Massage Therapy,1055 S. Sherman Street,Richardson,TX,75801,Dallas,32.937534,-96.740564
Everest College-Santa Ana,500 West Santa Ana Blvd,Santa Ana,CA,92701,Orange,33.747615,-117.873219
Miami Ad School-New York,10 Jay Street,Brooklyn,NY,11201,Kings,40.704431,-73.986638
Lacy Cosmetology School,2070 Sam Rittenberg Blvd.,Charleston,SC,29407,Charleston,32.797541,-80.032151
Dade Medical College,2601 South Military Trail,West Palm Beach,FL,33415,Palm Beach,26.638528,-80.115066
Dade Medical College,9550 Regency Square Boulevard,Jacksonville,FL,32225,Duval,30.32372,-81.551209
WestMed College,"3031 Tisch Way, 1st Floor, Ste 8PW",San Jose,CA,95128,Santa Clara,37.317499,-121.94767
Larry's Barber College,10456 S. Halsted Street,Chicago,IL,60628,Cook,41.703711,-87.643207
Lewistown Hospital School of Nursing,400 Highland Avenue,Lewistown,PA,17044,Mifflin,40.61848,-77.567312
Futura Career Institute,4512 West 12th Avenue,Hialeah,FL,33012,Miami-Dade,25.863099,-80.307231
Access Careers,25 Elm Place,Brooklyn,NY,11201,Kings,40.689431,-73.983834
The Hair Design School-Charlotte,4901-B N Tyron St,Charlotte,NC,28213,Mecklenburg,35.258559,-80.783745
Moreno Valley College,16130 Lasselle St,Moreno Valley,CA,92551,Riverside,33.887063,-117.202554
Flair Beauty College,18914 Soledad Canyon Road,Canyon Country,CA,91351,Los Angeles,34.41485,-118.465239
The Hair Design School-Durham,5106 N Roxboro Rd,Durham,NC,27704,Durham,36.068656,-78.90633
Hair Design Institute at Fifth Avenue-New York,"500 8th Ave., 8th Floor",New York,NY,10018,New York,40.752971,-73.992381
The Hair Design School-E Greensboro,2001 E Wendover Ave,Greensboro,NC,27405,Guilford,36.08751,-79.759502
Onondaga School of Therapeutic Massage-Rochester,302 N Goodman St Ste 200,Rochester,NY,14607,Monroe,43.159086,-77.584781
The Hair Design School-Winston-Salem,7740 N Point Blvd,Winston-Salem,NC,27106,Forsyth,36.151383,-80.284787
Norco College,2001 Third St,Norco,CA,92860,Riverside,33.916752,-117.569994
Empire Beauty School-West Palm,4258  Okeechobee Blvd,West Palm Beach,FL,33409,Palm Beach,26.705541,-80.107401
Daymar College-Louisville,3309 Collins Lane,Louisville,KY,40245,Jefferson,38.291264,-85.516003
Empire Beauty School-Pineville,8700 Pineville-Matthews Rd,Charlotte,NC,28226,Mecklenburg,35.089561,-80.865338
Dorsey Business Schools-Saginaw,4390 Bay Rd,Saginaw,MI,48603,Saginaw,43.47058,-83.973096
The Hair Design School-N Memphis,3250 Coleman Rd,Memphis,TN,38128,Shelby,35.214769,-89.91727
Milan Institute of Cosmetology-La Quinta,"47120 Dune Palms Ste C-2, D and E",La Quinta,CA,92253,Riverside,33.706019,-116.276905
Milan Institute-Nampa,1021 W. Hemingway,Nampa,ID,83651,Canyon,43.600657,-116.594066
Broadview University-Salt Lake City,240 E Morris Ave,Salt Lake City,UT,84115,Salt Lake,40.717355,-111.88449
Milan Institute of Cosmetology-El Paso,"1580 George Dieter Dr., Ste 207",El Paso,TX,79925,El Paso,31.749728,-106.300222
Bryant & Stratton College-Hampton,"4410 East Claiborne Square, Suite 233",Hampton,VA,23666,Hampton,37.043869,-76.392725
Finger Lakes School of Massage,272 North Bedford Rd,Mt. Kisco,NY,10549,Westchester,41.21715,-73.718373
Paul Mitchell the School-Phoenix,3423 W Bethany Home Rd,Phoenix,AZ,85017,Maricopa,33.523667,-112.133047
Park Avenue School of Cosmetology,306 Main Ave S,Park Rapids,MN,56470,Hubbard,46.919636,-95.059663
All Beauty College,1385 E Gemini St,Fort Mohave,AZ,86426,Mohave,35.021355,-114.600955
Salter School of Nursing & Allied Health,670 N. Commercial Street,Manchester,NH,03101,Hillsborough,42.979155,-71.449422
Northern California Institute of Cosmetology Inc,601 East 14th Street,San Leandro,CA,94577,Alameda,37.730551,-122.160695
Salter School-New Bedford,950 Kings Hwy,New Bedford,MA,02745,Bristol,41.674904,-70.941702
Golden State College of Court Reporting,6543 Regional St,Dublin,CA,94568,Alameda,37.700763,-121.931819
Harris School of Business-Upper Darby Campus,20 South 69th St,Upper Darby,PA,19082,Delaware,39.960921,-75.259212
Preferred College of Nursing-Los Angeles,3424  Wilshire Blvd Ste 1100,Los Angeles,CA,90010,Los Angeles,34.060395,-118.297845
Trinity Vocational Center,1149 W 190th St Ste 2000,Gardena,CA,90248,Los Angeles,33.858768,-118.296535
Stratford School of Aviation Maintenance Technicians,200 Great Meadows Rd,Stratford,CT,06615,Fairfield,41.161248,-73.130805
SICE Paul Mitchell Partner School,3100 McHenry Ave,Modesto,CA,95350,Stanislaus,37.68301,-120.993745
Brown Mackie College-San Antonio,4715 Fredericksburg Rd Ste 520,San Antonio,TX,78229,Bexar,29.494338,-98.555762
Cosmo Beauty Academy,3500 Fulton Avenue,Sacremanto,CA,95821,Yolo,38.590143,-121.524919
Hollywood Institute of Beauty Careers,1440 79th St Causeway Ste 100,Miami Beach,FL,33141,Miami-Dade,25.84826,-80.154775
Dewey University,"Road 604, Km. 49.1, Barrio Tierras Nuevas Saliente",Manati,PR,00674,ManatÃ­,18.420422,-66.4903
Paul Mitchell the School-Fresno,5091 N Fresno St Ste 104,Fresno,CA,93710,Fresno,36.809771,-119.782418
Cortiva Institute-New Jersey,1985 Highway 34 South,Wall,NJ,07719,Monmouth,40.150569,-74.097175
Sanford-Brown College-Skokie,4930 Oakton Street,Skokie,IL,60077,Cook,42.026538,-87.751128
Unitek College,4670 Auto Mall Pkwy,Fremont,CA,94538,Alameda,37.50902,-121.961762
Cambridge Junior College-Woodland,501 Main Street,Woodland,CA,95695,Yolo,38.677677,-121.77436
Baltimore School of Massage-York,170 Red Rock Road,York,PA,17402,York,40.085337,-76.768426
Anthem College-Atlanta,2450 Piedmont Rd NE,Atlanta,GA,30324,Fulton,33.823089,-84.368233
Allen School-Phoenix,"15650 North Black Canyon Highway, B210",Phoenix,AZ,85053,Maricopa,33.629635,-112.11743
Gurnick Academy of Medical Arts,2121 S El Camino Real Bldg C 200,San Mateo,CA,94403,San Mateo,37.547364,-122.307981
Oklahoma Technical College,4444 South Sheridan,Tulsa,OK,74145,Tulsa,36.098685,-95.905898
ICPR Junior College√Manat?,Carretera #2 K.M. 4.9 Puerta del Norte Mall,Arecibo,PR,00674,ManatÃ­,18.426701,-66.465255
Southern California University SOMA,1541 Wilshire Blvd 3rd Fl,Los Angeles,CA,90017,Los Angeles,34.055449,-118.269709
Midwest Technical Institute,3620 Avenue of the Cities,Moline,IL,61265,Rock Island,41.489394,-90.483614
Western Beauty Institute,2733 W Avenue L,Lancaster,CA,93536,Los Angeles,34.661975,-118.180346
Paul Mitchell the School-East Bay,"100 Crescent Dr., Suite A",Pleasant Hill,CA,94523,Contra Costa,37.944916,-122.061225
Star Career Academy-Clifton,1230 Main Street,Clifton,NJ,07011,Passaic,40.877546,-74.142129
Ridley-Lowell Business and Technical Institute,44 Shelter Rock Rd,Danbury,CT,06810,Fairfield,41.388925,-73.429486
South University√Richmond,2151 Old Brick Rd,Glen Allen,VA,23060,Henrico,37.647061,-77.599966
Unitech Training Academy-Alexandria,7228 England Drive,Alexandria,LA,71301,Rapides,31.322494,-92.534685
Artistic Nails and Beauty Academy,985 E Memorial Blvd,Lakeland,FL,33801,Polk,28.053634,-81.94718
South University√Virginia Beach,"301 Bendix Rd, Ste 100",Virginia Beach,VA,23452,Virginia Beach,36.834256,-76.124681
Aveda Institute Denver,700 16th Street,Denver,CO,80202,Denver,39.744869,-104.99319
Unitech Training Academy-Lake Charles,2827 4th Avenue,Lake Charles,LA,70601,Calcasieu,30.204239,-93.192846
Paul Mitchell the School-Murfreesboro,"1720 Old Fort Pkwy, Suite L200",Murfreesboro,TN,37129,Rutherford,35.848044,-86.417934
Paul Mitchell the School-Colorado Springs,118 West Colorado Avenue,Colorado Springs,CO,80903,El Paso,38.832889,-104.828339
Aveda Institute Los Angeles,10935 Weyburn Avenue,Los Angeles,CA,90024,Los Angeles,34.062795,-118.446567
Allied American University,22952 Alcalde Drive,Laguna Hills,CA,92653,Orange,33.623073,-117.72957
The Salon Professional Academy-Colorado Springs,4388 Austin Bluffs Pkwy,Colorado Springs,CO,80918,El Paso,38.896141,-104.751295
Career Quest Learning Center-Kalamazoo,5115 Portage Road,Kalamazoo,MI,49002,Kalamazoo,42.24322,-85.558136
American Sentinel University,2260 South Xanadu Way,Aurora,CO,80014,Arapahoe,39.67603,-104.83195
Paul Mitchell The School-Delaware,1420 Pulaski Hwy,Newark,DE,19702,New Castle,39.622736,-75.680351
Buchanan Beauty College,211 West Coffee Street,Tullahoma,TN,37388,Coffee,35.354212,-86.206049
