name,address,city,state,zip,county,latitude,longitude
Ohio Dominican University,1216 Sunbury Road,Columbus,OH,43219,Franklin,39.992764,-82.940689
University of Denver,2199 S. University Blvd,Denver,CO,80208,Denver,39.681439,-104.961532
Pacific Northwest University of Health Sciences,200 University Parkway,Yakima,WA,98901,Yakima,46.602872,-120.45598
Horizon University,5331 Mt. Alifan Drive,San Diego,CA,92111,San Diego,32.815805,-117.181365
Colorado Mountain College,802 Grand Ave.,Glenwood Springs,CO,81601,Garfield,39.470488,-107.238703
Visions in Hair Design Institute of Cosmetology,7213 W Burleigh St,Milwaukee,WI,53210,Portage,44.384679,-89.383607
Columbus State Community College,550 E Spring St,Columbus,OH,43215,Franklin,39.969976,-82.987654
Modern Institute of Technology,2550 E Vineyard Ave Ste 180,Oxnard,CA,93036,Ventura,34.23357,-119.171253
Colorado School of Mines,1500 Illinois St,Golden,CO,80401,Jefferson,39.749092,-105.222907
Brensten Education,20633 Watertown Road,Waukesha,WI,53186,Waukesha,43.03706,-88.10896
University of Bridgeport,126 Park Avenue,Bridgeport,CT,06604,Fairfield,41.165587,-73.189352
Columbus College of Art and Design,60 Cleveland Ave.,Columbus,OH,43215,Franklin,39.964729,-82.989871
Fortis College-Dothan,200 Vulcan Way,Dothan,AL,36303,Houston,31.242886,-85.374424
San Diego Culinary Institute,8024 La Mesa Blvd,San Diego,CA,91942,San Diego,32.764329,-117.023815
Asnuntuck Community College,170 Elm St,Enfield,CT,06082,Hartford,41.998409,-72.570177
Franklin University,201 S Grant Ave,Columbus,OH,43215,Franklin,39.958145,-82.991339
Fortis College-Montgomery,3736 Atlanta Hwy,Montgomery,AL,36109,Montgomery,32.383686,-86.251882
Hartford Seminary,77 Sherman Street,Hartford,CT,06105,Hartford,41.769861,-72.707766
Beyond 21st Century Beauty Academy,13640 Imperial Hwy Ste 7,Santa Fe Springs,CA,90670,Los Angeles,33.916225,-118.041501
Fortis College School of Cosmetology,300-F Azalea Rd,Mobile,AL,36609,Mobile,30.673855,-88.149861
Wesleyan University,237 High St,Middletown,CT,06459,Middlesex,41.55678,-72.656755
Vatterott Career College-Memphis Appling Farms,6991 Appling Farms Parkway,Memphis,TN,38133,Shelby,35.179508,-89.82991
Trinity Lutheran Seminary,2199 E Main St,Columbus,OH,43209,Franklin,39.957769,-82.94051
Franklin Career College,1274 Slater Cir,Ontario,CA,91761,San Bernardino,34.050411,-117.5606
Capital University,1 College and Main,Columbus,OH,43209,Franklin,39.954875,-82.937867
Brown Mackie College-Tulsa,4608 S Garnett Rd Ste 110,Tulsa,OK,74146,Tulsa,36.09694,-95.853318
Academy for Jewish Religion-California,574 Hilgard Ave,Los Angeles,CA,90024,Los Angeles,34.070005,-118.438494
Ohio Northern University,525 S. Main St,Ada,OH,45810,Hardin,40.766299,-83.830586
Hollywood Beauty College,1024 E March Ln,Stockton,CA,95210,San Joaquin,38.000598,-121.293661
Fortis Institute,100 London Pkwy Ste 150,Birmingham,AL,35211,Jefferson,33.442921,-86.862659
Rabbinical College Telshe,28400 Euclid Ave,Wickliffe,OH,44092,Lake,41.593533,-81.485261
Angeles College,3440 Wilshire Blvd Ste 310,Los Angeles,CA,90010,Los Angeles,34.060695,-118.30003
Cardiac and Vascular Institute of Ultrasound,2936 North McVay Drive,Mobile,AL,36606,Mobile,30.691633,-88.080591
Northern Institute of Cosmetology,669 Broadway,Lorain,OH,44052,Lorain,41.4652,-82.174285
Studio Academy of Beauty,610 N Alma School Rd Ste 38,Chandler,AZ,85224,Maricopa,33.31467,-111.84318
LA Barber College,440 S Broadway St Ste G8,Los Angeles,CA,90013,Los Angeles,34.048543,-118.249814
Lorain County Community College,1005 North Abbe Rd,Elyria,OH,44035,Lorain,41.412273,-82.072938
Angeles Institute,"11688 SOUTH STREET, SUITE 205",ARTESIA,CA,90701,Los Angeles,33.858013,-118.085159
Oberlin College,70 N Professor St,Oberlin,OH,44074,Lorain,41.29474,-82.221786
Academy of Hair Design,11920 N May Ave,Oklahoma City,OK,73120,Cleveland,35.349359,-97.564828
Esthetiques Cosmetology Institute,27536 Ynez Rd Ste E-1,Temecula,CA,92591,Riverside,33.506579,-117.146474
University of Toledo,2801 W Bancroft,Toledo,OH,43606,Lucas,41.657246,-83.615936
Education and Technology Institute,219 Donohoe Rd,Greensburg,PA,15601,Westmoreland,40.310893,-79.501924
European Academy of Cosmetology and Hairdressing,1575 Boston Post Rd Bldg C,Guilford,CT,06437,New Haven,41.295441,-72.700147
United Theological Seminary,4501 Denlinger Rd.,Dayton,OH,45426,Montgomery,39.813462,-84.276913
Pulse Beauty Academy-A Paul Mitchell Partner School,150 E Pennsylvania Ave Ste 250,Downington,PA,19335,Chester,40.00839,-75.701965
International Institute of Cosmetology,632 Silas Deane Hwy,Wethersfield,CT,06109,Hartford,41.707932,-72.661776
Liberty Technical College,Carr. 735 Km 0.4,Cayey,PR,00737,Utuado,18.254575,-66.64683
Miami-Jacobs Career College-Dayton,110 N. Patterson,Dayton,OH,45402,Montgomery,39.762208,-84.186437
Florida School of Traditional Midwifery,810 E University Ave,Gainesville,FL,32601,Alachua,29.652246,-82.315887
Miami Valley Career Technology Center,6800 Hoke Rd,Clayton,OH,45315,Montgomery,39.845377,-84.328951
Toni & Guy Hairdressing Academy-Cranston,1400 Oaklawn Ave,Cranston,RI,02920,Providence,41.733395,-71.478372
Walton Career Development Center,761 N 20th St,DeFuniak Springs,FL,32433,Walton,30.732114,-86.128281
South Texas Training Center,1901 W Hwy 77,San Benito,TX,78586,Lampasas,31.158385,-98.414892
National Institute of Massotherapy,3681 Manchester Rd.,Akron,OH,44319,Summit,40.999755,-81.557264
Columbia College,8300 Merrifield Ave 3F,Fairfax,VA,22031,Fairfax,38.878307,-77.231454
Immokalee Technical Center,508 N 9th St,Immokalee,FL,34142,Collier,26.426526,-81.425148
Redlands Community College,1300 S Country Club Rd,El Reno,OK,73036,Canadian,35.518475,-97.974592
Vermont College of Fine Arts,36 College St,Montpelier,VT,05602,Washington,44.25521,-72.567616
American Academy of Cosmetology,1330 Blanding Blvd Ste 125,Orange Park,FL,32065,Clay,30.123757,-81.798803
University of Central Oklahoma,100 N University Dr,Edmond,OK,73034,Oklahoma,35.658329,-97.471524
University of Fort Lauderdale,4069 NW 16th St,Lauderhill,FL,33313,Broward,26.146582,-80.2046
Rose State College,6420 S E 15th,Midwest City,OK,73110,Oklahoma,35.444315,-97.413924
Advanced Welding Institute,2 Green Tree Dr Ste 3,South Burlington,VT,05403,Chittenden,44.45588,-73.139437
Trevecca Nazarene University,333 Murfreesboro Rd,Nashville,TN,37210,Davidson,36.142471,-86.752876
The Art Institute of Washington-Dulles,"The Corporate Office Park at Dulles Town Center, 21000 Atlantic Blvd Ste 100",Sterling,VA,20166,Loudoun,39.035162,-77.430031
Saint Gregorys University,1900 W MacArthur,Shawnee,OK,74804,Pottawatomie,35.367586,-96.954247
Aviation Institute of Maintenance-Orlando,83 Nilson Way Hangar 7,Orlando,FL,32803,Orange,28.544502,-81.342551
American Baptist College,1800 Baptist World Ctr Dr,Nashville,TN,37207,Davidson,36.201155,-86.789301
Oklahoma Baptist University,500 W University,Shawnee,OK,74804,Pottawatomie,35.359723,-96.931711
The Salon Professional Academy-Tampa,4802 Gunn Hwy Suite 144,Tampa,FL,33624,Hillsborough,28.051825,-82.525411
Belmont University,1900 Belmont Blvd,Nashville,TN,37212,Davidson,36.133866,-86.794715
Spartan College of Aeronautics and Technology,8820 E Pine St,Tulsa,OK,74115,Tulsa,36.176642,-95.878902
Fisk University,1000 17th Ave North,Nashville,TN,37208,Davidson,36.16912,-86.805671
The Salon Professional Academy-Gainesville,6915 NW 4th Blvd Ste B,Gainesville,FL,32607,Alachua,29.654808,-82.416921
The Salon Professional Academy-The Villages,11915 CR 103,The Villages,FL,32162,Sumter,28.929944,-82.028094
Vanderbilt University,2101 West End Avenue,Nashville,TN,37240,Davidson,36.14443,-86.804875
Tulsa Welding School-Tulsa Campus,2545 E. 11th Street,Tulsa,OK,74104,Tulsa,36.148202,-95.954378
Kevosnik School of Hair Design,400 W Moore St,Dublin,GA,31021,Laurens,32.543094,-82.911457
Platt College-Tulsa,3801 S Sheridan,Tulsa,OK,74145,Tulsa,36.109302,-95.904031
Antonelli College-Jackson,2323 Lakeland Drive,Jackson,MS,39232,Rankin,32.328918,-90.12297
Profile Institute of Barber-Styling,26 Cleveland Ave SE,Atlanta,GA,30315,Fulton,33.681387,-84.388168
Clackamas Community College,19600 Molalla Ave,Oregon City,OR,97045,Clackamas,45.323185,-122.574272
The Process Institute of Cosmetology,755 Lawrenceville-Suwannee Rd Bldg 1300,Lawrenceville,GA,30043,Gwinnett,33.964889,-84.022575
New Hope Christian College,2155 Bailey Hill Rd,Eugene,OR,97405,Lane,44.032674,-123.15355
Belhaven University,1500 Peachtree St,Jackson,MS,39202,Hinds,32.318415,-90.169228
Blue Cliff College-Gulfport,12251 Bernard Pkwy,Gulfport,MS,39503,Harrison,30.442609,-89.038993
Lane Community College,4000 E 30th Ave,Eugene,OR,97405,Lane,44.010037,-123.033582
New Hope Christian College,290 Sand Island Access Rd,Honolulu,HI,96819,Honolulu,21.327185,-157.888816
Linn-Benton Community College,6500 Pacific Blvd SW,Albany,OR,97321,Linn,44.587663,-123.11403
Copiah-Lincoln Community College,1001 Co-Lin Lane,Wesson,MS,39191,Copiah,31.69006,-90.399133
D & L Academy of Hair Design,113 Main Ave E,Twin Falls,ID,83301,Twin Falls,42.54962,-114.461471
Willamette University,900 State St,Salem,OR,97301,Marion,44.935457,-123.030537
Master Educators Beauty School,1205 Filer Ave E,Twin Falls,ID,83301,Twin Falls,42.571125,-114.459161
Mt Hood Community College,26000 SE Stark St,Gresham,OR,97030,Multnomah,45.512114,-122.396467
Ambria College of Nursing,5210 Trillium Blvd,Hoffman Estates,IL,60192,Cook,42.075613,-88.210888
Multnomah University,8435 NE Glisan St,Portland,OR,97220,Multnomah,45.527661,-122.575654
Midwestern Career College,20 North Wacker Drive Ste 3800,Chicago,IL,60606,Cook,41.88251,-87.637517
Mississippi College,200 South Capitol Street,Clinton,MS,39058,Hinds,32.334565,-90.330452
Warner Pacific College,2219 SE 68th Ave,Portland,OR,97215,Multnomah,45.506265,-122.592499
Millsaps College,1701 N State St,Jackson,MS,39210,Hinds,32.3231,-90.178084
Paul Mitchell the School-Normal,1503 E College Ave Ste L,Normal,IL,61761,McLean,40.509298,-88.958694
Portland Community College,12000 SW 49th Avenue,Portland,OR,97219,Multnomah,45.438382,-122.732023
Jackson State University,1440 J R Lynch St,Jackson,MS,39217,Hinds,32.296781,-90.20663
Innovations Design Academy,125 E Locust St,Canton,IL,61520,Fulton,40.558571,-90.033107
Reed College,3203 SE Woodstock Blvd,Portland,OR,97202,Multnomah,45.480959,-122.630348
University of Mississippi Medical Center,2500 N State St,Jackson,MS,39216,Hinds,32.332135,-90.17167
Virginia College-Jackson,4795 Interstate 55 N,Jackson,MS,39206,Hinds,32.361067,-90.152404
Duke University,103 Allen Bldg,Durham,NC,27708,Durham,36.002344,-78.938597
Middlesex Community College,100 Training Hill Rd,Middletown,CT,06457,Middlesex,41.539516,-72.611838
North Carolina Central University,1801 Fayetteville Street,Durham,NC,27707,Durham,35.974237,-78.898602
Southern Connecticut State University,501 Crescent Street,New Haven,CT,06515,New Haven,41.331852,-72.948806
Albertus Magnus College,700 Prospect St,New Haven,CT,06511,New Haven,41.332519,-72.923848
CET-Durham,807 E. Main Street,Durham,NC,27701,Durham,35.990998,-78.890217
The Art Institute of Fort Lauderdale,1799 SE 17th St,Fort Lauderdale,FL,33316,Broward,26.101096,-80.123514
Aveda Fredric's Institute-Indianapolis,6020 E 82nd St,Indianapolis,IN,46250,Marion,39.907854,-86.064712
The Art Institute of Raleigh-Durham,"410 Blackwell St, Ste 200",Durham,NC,27701,Durham,35.992754,-78.904709
University of Portland,5000 N Willamette Blvd,Portland,OR,97203,Multnomah,45.571967,-122.725972
Jacksonville University,2800 University Blvd N,Jacksonville,FL,32211,Duval,30.350843,-81.606507
Edward Waters College,1658 Kings Rd,Jacksonville,FL,32209,Duval,30.34479,-81.684879
Apex School of Theology,2945 South Miami Blvd Ste 114,Durham,NC,27703,Durham,35.924383,-78.843448
The Salon Professional Academy-Anderson,5335 S Scatterfield Rd,Anderson,IN,46013,Madison,40.060313,-85.655603
Pacific University,2043 College Way,Forest Grove,OR,97116,Washington,45.521394,-123.108777
Beacon College,105 E Main St,Leesburg,FL,34748,Lake,28.810815,-81.875506
Eric Fisher Academy,6727 W Central,Wichita,KS,67212,Sedgwick,37.693652,-97.422663
Everest College-Arlington,801 N Quincy St-Ste 500,Arlington,VA,22203,Arlington,38.88039,-77.107297
Tallahassee Community College,444 Appleyard Dr,Tallahassee,FL,32304,Leon,30.443866,-84.339
George Fox University,414 N Meridian St,Newberg,OR,97132,Yamhill,45.303062,-122.967466
A & W Healthcare Educators,6930 Martin Drive,New Orleans,LA,70126,Orleans,30.02719,-90.012142
Florida Memorial University,15800 NW 42 Avenue,Miami Gardens,FL,33054,Miami-Dade,25.917208,-80.268795
Linfield College-McMinnville Campus,900 SE Baker,McMinnville,OR,97128,Yamhill,45.201333,-123.200464
My-Le's Beauty College,601 Terry Parkway Ste. A,Gretna,LA,70056,Jefferson,29.90321,-90.029195
Barry University,11300 NE 2nd Ave,Miami,FL,33161,Miami-Dade,25.878605,-80.196366
Florida Keys Community College,5901 College Rd,Key West,FL,33040,Monroe,24.582748,-81.74446
La Roche College,9000 Babcock Blvd,Pittsburgh,PA,15237,Allegheny,40.569898,-80.013295
Blackstone Valley Vocational Regional School District,65 Pleasant St,Upton,MA,01568,Worcester,42.16382,-71.616243
Westwood College-Arlington Ballston,4420 N. Fairfax Dr.,Arlington,VA,22203,Arlington,38.879732,-77.112642
Rollins College,1000 Holt Avenue,Winter Park,FL,32789,Orange,28.593449,-81.348877
Robert Morris University,6001 University Boulevard,Moon Township,PA,15108,Allegheny,40.520679,-80.211585
Southern Worcester County Regional Voc School District,57 Old Muggett Hill Rd,Charlton,MA,01507,Worcester,42.133623,-71.957564
L'esprit Academy,31501 Schoolcraft Rd,Livonia,MI,48150,Wayne,42.382129,-83.354807
Paul Mitchell the School-Memphis,8000 US Hwy 64 Ste 108,Bartlett,TN,38133,Shelby,35.204071,-89.796783
Marketti Academy of Cosmetology,4390 Dixie Hwy,Waterford,MI,48329,Oakland,42.683049,-83.375192
Pima Medical Institute-East Valley,2160 S Power Rd,Mesa,AZ,85209,Maricopa,33.376805,-111.688571
Argosy University-Washington D.C.,"1550 Wilson Boulevard, Suite 600",Arlington,VA,22209,Arlington,38.894272,-77.075927
CenterPoint Massage and Shiatsu Therapy School and Clinic,5300 West 35th Street,St Louis Park,MN,55416,Hennepin,44.938805,-93.345154
Virginia College-Charleston,6185 Rivers Avenue,North Charleston,SC,29406,Charleston,32.906099,-80.023116
MediaTech Institute-Austin,4719 S. Congress Ave,Austin,TX,78745,Travis,30.252687,-97.747177
MediaTech Institute-Houston,3324 Walnut Bend Ln,Houston,TX,77042,Harris,29.724809,-95.568341
Allure School of Cosmetology,NOT AVAILABLE,NOT AVAILABLE,MN,NOT AVAILABLE,Goodhue,44.562439,-92.550358
The Art Institute of Washington,1820 N Fort Myer Dr,Arlington,VA,22209,Arlington,38.895859,-77.072631
Fortis College-Phoenix,555 N 18 St Ste 110,Phoenix,AZ,85006,Maricopa,33.454176,-112.042951
Lamson Institute,5819 NW Loop 410-Ste 160,San Antonio,TX,78238,Bexar,29.481426,-98.607504
Marymount University,2807 N Glebe Rd,Arlington,VA,22207,Arlington,38.905552,-77.128799
Sanford-Brown College-San Antonio,"4511 Horizon Hill Boulevard, Suite 300",San Antonio,TX,78229,Bexar,29.51871,-98.558155
Heritage College-Little Rock,1309 Old Forge Drive,Little Rock,AR,72227,Pulaski,34.7645,-92.38314
Argosy University-Phoenix Online Division,2233 West Dunlap Avenue,Phoenix,AZ,85021,Maricopa,33.566817,-112.107494
ITT Technical Institute√Huntington,5183 US Route 60 Building 1 Ste40,Huntington,WV,25705,Cabell,38.413651,-82.342759
Fortis College-Salt Lake City,3949 S 700 E Ste 150,Salt Lake City,UT,84107,Salt Lake,40.685819,-111.870502
DeVry University-Virginia,2450 Crystal Drive,Arlington,VA,22202,Arlington,38.852309,-77.05026
Grayson College,6101 Grayson Drive,Denison,TX,75020,Grayson,33.705988,-96.633767
Institute for the Psychological Sciences,"2001 Jefferson Davis Highway, Suite 511",Arlington,VA,22202,Arlington,38.855847,-77.05135
D-Jays School of Beauty Arts and Sciences,10120 Red Oaks Dr.,Baton Rouge,LA,70815,East Baton Rouge,30.462232,-91.071568
Houston Baptist University,7502 Fondren Rd,Houston,TX,77074,Harris,29.693819,-95.515954
Fortis College,9255 Interline Avenue,Baton Rouge,LA,70809,East Baton Rouge,30.422493,-91.082259
Sanford-Brown Institute-Tampa,5701 E. Hillsborough Ave.,Tampa,FL,33610,Hillsborough,27.99303,-82.38999
Rice University,6100 S Main,Houston,TX,77005,Harris,29.716218,-95.404977
University of Phoenix-West Florida Campus,12802 Tampa Oaks Blvd,Temple Terrace,FL,33637,Hillsborough,28.062928,-82.355776
Texas State University-San Marcos,601 University Dr,San Marcos,TX,78666,Hays,29.888077,-97.939155
University of South Florida-Main Campus,4202 East Fowler Ave,Tampa,FL,33620,Hillsborough,28.056647,-82.415876
Ultimate Medical Academy-Tampa,9309 N Florida Ave Ste 100,Tampa,FL,33612,Hillsborough,28.035202,-82.4573
South Plains College,1401 S. College Ave,Levelland,TX,79336,Hockley,33.575809,-102.36616
The University of Tampa,401 W Kennedy Blvd,Tampa,FL,33606,Hillsborough,27.947225,-82.465582
Argosy University-Tampa,1403 N. Howard Avenue,Tampa,FL,33607,Hillsborough,27.955166,-82.482545
Southwestern Adventist University,100 W Hillcrest,Keene,TX,76059,Johnson,32.396958,-97.327078
Everest University-Tampa,3319 W Hillsborough Ave,Tampa,FL,33614,Hillsborough,27.996582,-82.497616
Midland College,3600 N Garfield,Midland,TX,79705,Midland,32.028528,-102.105554
South University-Tampa,"4401 N Himes Ave, Suite 175",Tampa,FL,33614,Hillsborough,27.982269,-82.500357
Arlington Baptist College,3001 W Division,Arlington,TX,76012,Tarrant,32.739489,-97.156024
FastTrain of Tampa,NOT AVAILABLE,NOT AVAILABLE,FL,NOT AVAILABLE,Hillsborough,27.951611,-82.517805
Texas Wesleyan University,1201 Wesleyan St,Fort Worth,TX,76105,Tarrant,32.732962,-97.279613
University of North Texas Health Science Center,3500 Camp Bowie Blvd,Fort Worth,TX,76107,Tarrant,32.74929,-97.368925
Remington College-Baton Rouge Campus,10551 Coursey Boulevard,Baton Rouge,LA,70816,East Baton Rouge,30.417093,-91.063237
Huston-Tillotson University,900 Chicon St,Austin,TX,78702,Travis,30.264672,-97.721698
Baton Rouge Community College,201 Community College Drive,Baton Rouge,LA,70806,East Baton Rouge,30.448276,-91.137935
Baton Rouge General Medical Center-Radiologic Technology,3616 North Street,Baton Rouge,LA,70806,East Baton Rouge,30.449853,-91.152797
Saint Edward's University,3001 S Congress Ave,Austin,TX,78704,Travis,30.229844,-97.75763
Southern University Law Center,NOT AVAILABLE,Baton Rouge,LA,70813,East Baton Rouge,30.523697,-91.192973
Southwestern University,1001 University Ave,Georgetown,TX,78626,Williamson,30.635514,-97.666137
Moore Career College,6160 Perkins Rd Ste 200,Baton Rouge,LA,70808,East Baton Rouge,30.407043,-91.126082
ITT Technical Institute-Baton Rouge,"14141 Airline Highway, Suite 101",Baton Rouge,LA,70817,East Baton Rouge,30.36585,-91.024815
Westminster College,1840 South 1300 East,Salt Lake City,UT,84105,Salt Lake,40.731981,-111.855565
James H Faulkner State Community College,1900 US Hwy 31 S,Bay Minette,AL,36507,Baldwin,30.852045,-87.779758
Virginia Intermont College,1013 Moore Street,Bristol,VA,24201,Bristol,36.604813,-82.176043
John Tyler Community College,13101 Jefferson Davis Hwy,Chester,VA,23831,Chesterfield,37.346261,-77.407937
University of Mary Washington,1301 College Ave,Fredericksburg,VA,22401,Fredericksburg,38.301816,-77.473865
Thomas Nelson Community College,99 Thomas Nelson Drive,Hampton,VA,23666,Hampton,37.060811,-76.413806
Christopher Newport University,1 Avenue of the Arts,Newport News,VA,23606,Newport News,37.063331,-76.495104
Eastern Virginia Medical School,700w. Olney,Norfolk,VA,23507,Norfolk,36.861231,-76.300695
Norfolk State University,700 Park Avenue,Norfolk,VA,23504,Norfolk,36.848426,-76.261375
Union Presbyterian Seminary,3401 Brook Rd,Richmond,VA,23227,Richmond,37.578935,-77.449317
Virginia Union University,1500 N Lombardy St,Richmond,VA,23220,Richmond,37.561145,-77.450392
Shenandoah University,1460 University Dr,Winchester,VA,22601,Winchester,39.166058,-78.158376
Clark College,1933 Fort Vancouver Way,Vancouver,WA,98663,Clark,45.634287,-122.652291
Highline Community College,2400 S 240th St,Des Moines,WA,98198,King,47.388231,-122.303064
Olympic College,1600 Chester Ave,Bremerton,WA,98337,Kitsap,47.574963,-122.636059
Central Washington University,400 East University Way,Ellensburg,WA,98926,Kittitas,47.005005,-120.537769
Bates Technical College,1101 S Yakima Ave,Tacoma,WA,98405,Pierce,47.251743,-122.44683
Augustana College,639 38th St,Rock Island,IL,61201,Rock Island,41.503167,-90.548276
Tacoma Community College,6501 S 19th St,Tacoma,WA,98466,Pierce,47.245437,-122.522865
Pittsburgh Theological Seminary,616 N Highland Ave,Pittsburgh,PA,15206,Allegheny,40.467347,-79.921397
Black Hawk College,6600-34th Avenue,Moline,IL,61265,Rock Island,41.477054,-90.451053
Clover Park Technical College,4500 Steilacoom Blvd SW,Lakewood,WA,98499,Pierce,47.176084,-122.497873
Triangle Tech Inc-Pittsburgh,1940 Perrysville Avenue,Pittsburgh,PA,15214,Allegheny,40.462003,-80.012781
Bidwell Training Center Inc,1815 Metropolitan St,Pittsburgh,PA,15233,Allegheny,40.457352,-80.032471
McKendree University,701 College Rd,Lebanon,IL,62254,St. Clair,38.609507,-89.814695
Edmonds Community College,20000 68th Ave W,Lynnwood,WA,98036,Snohomish,47.816376,-122.327598
Community College of Allegheny County,800 Allegheny Ave,Pittsburgh,PA,15233,Allegheny,40.449368,-80.013937
Dean Institute of Technology,1501 W Liberty Ave,Pittsburgh,PA,15226,Allegheny,40.410154,-80.015502
Southwestern Illinois College,2500 Carlyle Ave,Belleville,IL,62221,St. Clair,38.516406,-89.924466
Whitworth University,300 W Hawthorne Rd,Spokane,WA,99251,Spokane,47.753699,-117.418077
Trinity Episcopal School for Ministry,311 Eleventh St,Ambridge,PA,15003,Beaver,40.593403,-80.230178
Delaware Valley College,700 E Butler Ave,Doylestown,PA,18901,Bucks,40.297941,-75.158309
University of St Francis,500 N Wilcox St,Joliet,IL,60435,Will,41.532955,-88.09554
Saint Martin's University,5000 Abbey Way SE,Lacey,WA,98503,Thurston,47.040191,-122.815013
Valley Forge Christian College,1401 Charlestown Road,Phoenixville,PA,19460,Chester,40.119096,-75.548848
Saint Anthony College of Nursing,5658 E State St,Rockford,IL,61108,Winnebago,42.269842,-89.007751
South Puget Sound Community College,2011 Mottman Rd SW,Olympia,WA,98512,Thurston,47.024537,-122.929864
Avalon School of Cosmetology,1428 N McMillan St,Worthington,MN,56187,Nobles,43.631832,-95.602491
Villanova University,800 Lancaster Avenue,Villanova,PA,19085,Delaware,40.035772,-75.340222
American College of Technology,2700 N Belt Hwy Ste 201,Saint Joseph,MO,64506,Buchanan,39.775253,-94.832627
Swarthmore College,500 College Ave,Swarthmore,PA,19081,Delaware,39.905986,-75.351639
Oakland City University,138 N Lucretia St,Oakland City,IN,47660,Gibson,38.339004,-87.351522
Madison Area Technical College,1701 Wright St,Madison,WI,53704,Dane,43.121843,-89.327786
City Vision College,712 E 31ST STREET,Kansas City,MO,64109,Jackson,39.070953,-94.576142
Neumann University,One Neumann Drive,Aston,PA,19014,Delaware,39.874866,-75.440007
Transformed Barber and Cosmetology Academy,5720 E Bannister Rd,Kansas City,MO,64137,Jackson,38.953431,-94.522534
Mount Mary College,2900 N. Menomonee River Pky,Milwaukee,WI,53222,Milwaukee,43.072303,-88.030594
Baptist Bible College & Seminary of Pennsylvania,538 Venard Rd,Clarks Summit,PA,18411,Lackawanna,41.496197,-75.684234
Purdue University-Calumet Campus,2200 169th St,Hammond,IN,46323,Lake,41.584326,-87.474034
Mississippi School of Therapeutic Massage,1935 Lakeland Dr Ste A,Jackson,MS,39216,Hinds,32.332651,-90.136628
Medical College of Wisconsin,8701 Watertown Plank Road,Milwaukee,WI,53226,Milwaukee,43.044527,-88.022674
Indiana University-Northwest,3400 Broadway,Gary,IN,46408,Lake,41.556323,-87.338429
Bitterroot School of Cosmetology,2079 N First St Ste B,Hamilton,MT,59840,Ravalli,46.273475,-114.159449
Milwaukee School of Engineering,1025 N Broadway,Milwaukee,WI,53202,Milwaukee,43.045364,-87.907691
Atlanta Beauty & Barber Academy,6088 Buford Hwy,Doraville,GA,30340,DeKalb,33.915969,-84.259616
Anderson University,1100 E 5th St,Anderson,IN,46012,Madison,40.112162,-85.66342
The Salon Professional Academy-Great Falls,501 2nd St S,Great Falls,MT,59405,Cascade,47.498487,-111.303719
Alverno College,3400 S 43rd  St,Milwaukee,WI,53234,Milwaukee,42.982842,-87.965174
Park West Barber School,931 E Main St,Durham,NC,27701,Durham,35.989109,-78.890105
Butler University,4600 Sunset Ave,Indianapolis,IN,46208,Marion,39.840167,-86.170687
National Career Institute,134 Evergreen Pl,East Orange,NJ,07018,Essex,40.761349,-74.222279
University of Wisconsin-Milwaukee,2200 E Kenwood Blvd,Milwaukee,WI,53201,Milwaukee,43.076848,-87.880488
Christian Theological Seminary,1000 W 42nd St,Indianapolis,IN,46208,Marion,39.832673,-86.178551
Toni & Guy Hairdressing Academy-Albuquerque,2122 Central Ave SE,Albuquerque,NM,87106,Bernalillo,35.080758,-106.622889
Carroll University,100 N East Ave,Waukesha,WI,53186,Waukesha,43.004879,-88.228141
International Academy of Style,111 W Plumb Ln,Reno,NV,89509,Washoe,39.506235,-119.805091
Lincoln College of Technology-Indianapolis,7225 Winton Drive - Building 128,Indianapolis,IN,46268,Marion,39.884503,-86.246276
Garnet Career Center,422 Dickinson St,Charleston,WV,25301,Kanawha,38.351017,-81.629876
Valparaiso University,US Highway 30 and Sturdy Road,Valparaiso,IN,46383,Porter,41.463176,-87.045853
Lake-Sumter Community College,9501 US Hwy 441,Leesburg,FL,34788,Lake,28.830237,-81.797731
Bethel College-Indiana,1001 Bethel Circle,Mishawaka,IN,46545,St. Joseph,41.678065,-86.191649
ITT Technical Institute-Newburgh,10999 Stahl Rd,Newburgh,IN,47630,Warrick,37.979858,-87.449736
Butler Community College,901 S Haverhill Rd,El Dorado,KS,67042,Butler,37.806662,-96.882822
Bethel College-North Newton,300 E 27th St,North Newton,KS,67117,Harvey,38.075189,-97.343727
Johnson County Community College,12345 College Blvd,Overland Park,KS,66210,Johnson,38.923061,-94.730828
Friends University,2100 W. University Ave.,Wichita,KS,67213,Sedgwick,37.678455,-97.36704
Transylvania University,300 N Broadway,Lexington,KY,40508,Fayette,38.052983,-84.493202
National College-Lexington,2376 Sir Barton Way,Lexington,KY,40509,Fayette,38.026941,-84.421144
Pat Wilsons Beauty College,326 N Main,Henderson,KY,42420,Henderson,37.842747,-87.590121
Henderson Community College,2660 S Green St,Henderson,KY,42420,Henderson,37.797687,-87.650091
Spencerian College,4627 Dixie Hwy,Louisville,KY,40216,Jefferson,38.176466,-85.819761
Spalding University,901 S Fourth Street,Louisville,KY,40203,Jefferson,38.241612,-85.75885
Louisville Presbyterian Theological Seminary,1044 Alta Vista Rd,Louisville,KY,40205,Jefferson,38.237483,-85.685965
