county,median_sale_price,ppsf_year_avg,property_type,state,year
Waldo,271465.0,151.54278708996225,Single Family Residential,Maine,2021
Newaygo,210000.0,119.52578730866,Single Family Residential,Michigan,2021
Stanislaus,385000.0,240.0067078566648,Townhouse,California,2021
Jefferson,202000.0,97.031667164335,Single Family Residential,Texas,2021
Lewis,224750.0,107.8352467090364,Single Family Residential,Idaho,2021
Summit,600000.0,596.1546144486903,Condo/Co-op,Utah,2021
Allegan,252580.0,163.87986994217735,Condo/Co-op,Michigan,2021
Bulloch,146000.0,96.7475606844918,Townhouse,Georgia,2021
Livingston,179900.0,82.83563069241963,All Residential,New York,2021
Valley,726000.0,353.8109733139443,Condo/Co-op,Idaho,2021
Shelby,131000.0,85.76918246853506,Condo/Co-op,Ohio,2021
Marquette,58000.0,120.1019658116512,Condo/Co-op,Wisconsin,2021
St. Croix,327000.0,163.72272357814248,Condo/Co-op,Wisconsin,2021
Kenai Peninsula Borough,234061.0,171.77506946738856,Condo/Co-op,Alaska,2021
Weld,296250.0,190.99573561030857,Condo/Co-op,Colorado,2021
Grant,335000.0,190.39965572389755,All Residential,Washington,2021
Martin,378240.0,194.0196751920143,All Residential,Florida,2021
Hampshire,337500.0,200.036818527116,All Residential,Massachusetts,2021
Polk,420600.0,210.67937588382088,All Residential,Oregon,2021
Stephens,217250.0,76.38578691352988,All Residential,Oklahoma,2021
Stephens,177000.0,114.86385483697956,All Residential,Georgia,2021
Dimmit,162000.0,100.8450715735257,All Residential,Texas,2021
Rutherford,184000.0,153.42698447478637,Condo/Co-op,North Carolina,2021
Riverside,500000.0,266.3769200349313,Multi-Family (2-4 Unit),California,2021
Orange,164000.0,93.95957403533272,Single Family Residential,Indiana,2021
Forest,409000.0,145.65319542675735,All Residential,Wisconsin,2021
Iron,410000.0,196.9958965711889,All Residential,Utah,2021
El Paso,,,Single Family Residential,Colorado,2021
Washington,280000.0,169.945285137295,Single Family Residential,Vermont,2021
Florence,65000.0,90.83149052618688,All Residential,South Carolina,2021
Clay,470000.0,219.04634387022224,All Residential,Georgia,2021
Brazos,146939.5,144.37673639214051,Condo/Co-op,Texas,2021
Washington,495000.0,267.3363141735358,All Residential,Oregon,2021
Leon,145000.0,126.47003339680016,Townhouse,Florida,2021
St. Mary's,280000.0,160.19144242784407,Townhouse,Maryland,2021
Collin,354850.0,182.9779503904904,Townhouse,Texas,2021
Gratiot,127250.0,88.37512211977999,Single Family Residential,Michigan,2021
Ferry,189950.0,146.6693917551077,All Residential,Washington,2021
Haywood,315000.0,184.68537923936395,Condo/Co-op,North Carolina,2021
Harrison,215000.0,121.89494241663448,Single Family Residential,Mississippi,2021
Madison,219900.0,115.9710387396742,Single Family Residential,Kentucky,2021
Knox,385000.0,204.93206758492343,All Residential,Maine,2021
Allegany,137000.0,62.98944353205045,All Residential,Maryland,2021
Rockland,296000.0,243.6212125986421,Townhouse,New York,2021
Logan,268000.0,129.51230180908215,Single Family Residential,Oklahoma,2021
Kalamazoo,235000.0,140.83214836157467,Single Family Residential,Michigan,2021
Campbell,149900.0,133.48413571240772,Condo/Co-op,Kentucky,2021
Blount,249900.0,150.12649532518077,Multi-Family (2-4 Unit),Tennessee,2021
Wright,369125.0,158.83046057748516,All Residential,Minnesota,2021
DeKalb,165500.0,106.28619888452768,All Residential,Alabama,2021
Nez Perce,289000.0,152.83895968955798,All Residential,Idaho,2021
Van Buren,219500.0,197.19306164955464,Single Family Residential,Michigan,2021
