rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,location
20,2,California Institute of Technology,94.5,20,92.1,2,United States
40,4,Stanford University,94.3,40,92.8,1,United States
50,5,Massachusetts Institute of Technology,93.6,50,90.5,5,United States
60,6,Princeton University,93.2,60,90.3,7,United States
70,7,Harvard University,93.0,70,89.2,8,United States
80,8,Yale University,91.7,80,92.0,3,United States
90,9,The University of Chicago,90.2,90,89.1,9,United States
110,11,University of Pennsylvania,89.6,110,87.5,11,United States
120,12,Johns Hopkins University,89.2,120,81.7,20,United States
130,=13,"University of California, Berkeley",88.3,130,83.0,17,United States
160,16,Columbia University,87.0,160,85.6,14,United States
170,17,"University of California, Los Angeles",86.8,170,83.1,16,United States
190,19,Cornell University,85.1,190,79.7,21,United States
200,20,Duke University,84.0,200,82.4,18,United States
210,21,University of Michigan-Ann Arbor,83.8,210,79.4,22,United States
220,22,Northwestern University,83.5,220,74.2,28,United States
260,26,University of Washington,81.6,260,72.2,31,United States
270,=27,Carnegie Mellon University,81.3,270,65.9,42,United States
290,29,New York University,81.1,290,76.8,26,United States
310,31,"University of California, San Diego",78.8,310,62.6,50,United States
390,=38,Georgia Institute of Technology,75.4,390,60.2,58,United States
400,=38,University of Texas at Austin,75.4,400,68.2,37,United States
480,=48,University of Illinois at Urbana-Champaign,72.9,480,63.2,49,United States
510,51,University of Wisconsin-Madison,72.0,510,68.8,35,United States
520,52,Washington University in St Louis,71.5,520,64.2,47,United States
530,53,Brown University,70.0,530,64.0,48,United States
540,54,University of North Carolina at Chapel Hill,69.9,540,59.7,59,United States
550,=55,"University of California, Davis",69.7,550,62.4,52,United States
570,=57,"University of California, Santa Barbara",69.6,570,47.9,124,United States
610,61,Boston University,68.5,610,57.3,70,United States
630,=62,University of Southern California,68.1,630,54.7,85,United States
700,70,Ohio State University (Main campus),66.1,700,57.5,67,United States
780,78,Penn State (Main campus),64.2,780,55.2,84,United States
790,79,University of Minnesota,64.1,790,55.2,83,United States
810,=80,Emory University,64.0,810,56.0,78,United States
840,84,Michigan State University,63.9,840,56.6,76,United States
880,88,Purdue University West Lafayette,63.1,880,57.5,68,United States
910,=91,"University of Maryland, College Park",62.7,910,46.9,133,United States
950,=94,Dartmouth College,62.4,950,58.4,63,United States
960,=96,"University of California, Irvine",62.3,960,43.3,166,United States
1020,=102,Georgetown University,61.9,1020,57.3,71,United States
1040,104,University of Arizona,61.8,1040,52.6,92,United States
1060,=105,Rice University,61.6,1060,49.1,110,United States
1070,=107,University of Virginia (Main campus),61.5,1070,54.4,87,United States
1140,=113,University of Pittsburgh-Pittsburgh campus,60.4,1140,47.4,130,United States
1160,116,Vanderbilt University,60.2,1160,48.7,112,United States
1190,119,Case Western Reserve University,60.0,1190,48.4,115,United States
1240,124,University of Colorado Boulder,59.6,1240,44.8,149,United States
1340,=134,Indiana University,58.4,1340,50.8,101,United States
1400,=139,Tufts University,58.0,1400,49.1,111,United States
1550,=155,Arizona State University (Tempe),57.1,1550,39.3,229,United States
1600,=157,University of Notre Dame,56.9,1600,52.9,90,United States
1700,=168,Rutgers University – New Brunswick,56.0,1700,47.8,126,United States
1720,172,University of Alabama at Birmingham,55.7,1720,39.2,231,United States
1730,=173,"Northeastern University, US",55.6,1730,38.0,249,United States
1740,=173,University of Rochester,55.6,1740,43.4,165,United States
1750,=175,University of Florida,55.4,1750,54.0,88,United States
1780,178,Texas A&M University,55.3,1780,49.3,107,United States
1800,=179,"University of California, Santa Cruz",55.2,1800,33.1,359,United States
2000,=198,George Washington University,53.8,2000,48.6,113,United States
2060,201–250,Brandeis University,50.1–53.7,2060,28.5,495,United States
2120,201–250,University of Hawai’i at Mānoa,50.1–53.7,2120,36.3,283,United States
2150,201–250,Howard University,50.1–53.7,2150,42.8,172,United States
2160,201–250,University of Iowa,50.1–53.7,2160,43.1,169,United States
2240,201–250,University of Massachusetts,50.1–53.7,2240,38.5,242,United States
2270,201–250,University of Miami,50.1–53.7,2270,44.0,159,United States
2370,201–250,University of South Florida (Tampa),50.1–53.7,2370,30.5,431,United States
2420,201–250,University of Utah,50.1–53.7,2420,39.0,233,United States
2430,201–250,Virginia Polytechnic Institute and State University,50.1–53.7,2430,37.5,262,United States
2460,201–250,Wake Forest University,50.1–53.7,2460,42.8,174,United States
