rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,location
2490,201–250,William & Mary,50.1–53.7,2490,47.5,129,United States
2560,251–300,University at Buffalo,46.9–50.0,2560,37.2,268,United States
2570,251–300,"University of California, Riverside",46.9–50.0,2570,31.2,404,United States
2590,251–300,University of Cincinnati – Uptown,46.9–50.0,2590,35.5,303,United States
2620,251–300,University of Delaware,46.9–50.0,2620,28.5,496,United States
2660,251–300,Florida State University,46.9–50.0,2660,38.0,248,United States
2670,251–300,George Mason University,46.9–50.0,2670,29.9,460,United States
2700,251–300,University of Illinois Chicago,46.9–50.0,2700,45.0,145,United States
2780,251–300,University of Oregon,46.9–50.0,2780,34.0,335,United States
2790,251–300,Oregon Health and Science University,46.9–50.0,2790,35.7,299,United States
2960,251–300,Syracuse University,46.9–50.0,2960,35.1,314,United States
3050,301–350,Boston College,44.5–46.8,3050,36.7,276,United States
3070,301–350,Colorado School of Mines,44.5–46.8,3070,30.1,447,United States
3290,301–350,University of New Mexico (Main campus),44.5–46.8,3290,29.2,478,United States
3300,301–350,North Carolina State University,44.5–46.8,3300,36.7,277,United States
3310,301–350,Nova Southeastern University,44.5–46.8,3310,33.8,344,United States
3350,301–350,Rush University,44.5–46.8,3350,37.2,269,United States
3370,301–350,Stony Brook University,44.5–46.8,3370,34.4,329,United States
3420,301–350,Temple University,44.5–46.8,3420,39.3,230,United States
3430,301–350,The University of Tennessee-Knoxville,44.5–46.8,3430,32.9,367,United States
3440,301–350,University of Texas at Dallas,44.5–46.8,3440,23.7,710,United States
3460,301–350,Tulane University,44.5–46.8,3460,42.3,181,United States
3510,351–400,University of Alaska Fairbanks,42.4–44.4,3510,27.5,533,United States
3590,351–400,"University of California, Merced",42.4–44.4,3590,17.1,1150,United States
3610,351–400,Clark University,42.4–44.4,3610,24.0,683,United States
3620,351–400,University of Connecticut,42.4–44.4,3620,36.5,279,United States
3640,351–400,University of Denver,42.4–44.4,3640,40.5,211,United States
3690,351–400,Hofstra University,42.4–44.4,3690,38.4,243,United States
3730,351–400,Iowa State University,42.4–44.4,3730,29.5,472,United States
3860,351–400,Oregon State University,42.4–44.4,3860,30.9,414,United States
3920,351–400,SUNY University at Albany,42.4–44.4,3920,24.0,688,United States
3990,351–400,Washington State University,42.4–44.4,3990,30.7,420,United States
4000,351–400,Wayne State University,42.4–44.4,4000,33.3,355,United States
4030,401–500,The University of Alabama,38.8–42.3,4030,26.9,563,United States
4040,401–500,American University,38.8–42.3,4040,40.9,205,United States
4170,401–500,"Colorado State University, Fort Collins",38.8–42.3,4170,27.8,521,United States
4230,401–500,Drexel University,38.8–42.3,4230,35.8,295,United States
4320,401–500,University of Georgia,38.8–42.3,4320,34.9,318,United States
4330,401–500,Georgia State University,38.8–42.3,4330,33.9,338,United States
4380,401–500,University of Houston,38.8–42.3,4380,33.6,349,United States
4450,401–500,University of Kansas,38.8–42.3,4450,36.9,272,United States
4460,401–500,University of Kentucky,38.8–42.3,4460,37.0,270,United States
4550,401–500,University of Missouri-St Louis,38.8–42.3,4550,30.0,455,United States
4560,401–500,Mizzou - University of Missouri,38.8–42.3,4560,34.9,319,United States
4600,401–500,University of Nebraska-Lincoln,38.8–42.3,4600,30.1,449,United States
4610,401–500,New Mexico Institute of Mining and Technology,38.8–42.3,4610,22.3,783,United States
4630,401–500,Oklahoma State University,38.8–42.3,4630,24.1,679,United States
4730,401–500,Rensselaer Polytechnic Institute,38.8–42.3,4730,30.0,456,United States
4830,401–500,University of South Carolina-Columbia,38.8–42.3,4830,33.2,358,United States
4880,401–500,The University of Texas at San Antonio,38.8–42.3,4880,18.1,1070,United States
4930,401–500,The University of Tulsa,38.8–42.3,4930,33.5,352,United States
5020,501–600,University of Alabama in Huntsville,35.3–38.7,5020,22.2,785,United States
5240,501–600,Florida International University,35.3–38.7,5240,30.4,435,United States
5340,501–600,University of Idaho,35.3–38.7,5340,33.3,354,United States
5500,501–600,Louisiana State University,35.3–38.7,5500,34.5,323,United States
5550,501–600,Missouri University of Science and Technology,35.3–38.7,5550,24.2,674,United States
5600,501–600,University of Nebraska Medical Center,35.3–38.7,5600,35.8,297,United States
5620,501–600,New Jersey Institute of Technology,35.3–38.7,5620,21.3,843,United States
5630,501–600,Northern Arizona University,35.3–38.7,5630,20.2,921,United States
5750,501–600,University of Rhode Island,35.3–38.7,5750,23.9,695,United States
5790,501–600,San Diego State University,35.3–38.7,5790,23.7,708,United States
5870,501–600,SUNY Binghamton University,35.3–38.7,5870,22.8,758,United States
5970,501–600,University of Wisconsin-Milwaukee,35.3–38.7,5970,21.7,814,United States
6090,601–800,University of Arkansas,28.3–35.2,6090,26.9,564,United States
6100,601–800,Auburn University,28.3–35.2,6100,32.7,370,United States
6150,601–800,Baylor University,28.3–35.2,6150,32.1,382,United States
6250,601–800,University of Central Florida,28.3–35.2,6250,26.5,573,United States
6300,601–800,Clemson University,28.3–35.2,6300,25.0,629,United States
6370,601–800,Creighton University,28.3–35.2,6370,42.0,183,United States
6870,601–800,Kansas State University,28.3–35.2,6870,25.0,630,United States
6910,601–800,Kent State University,28.3–35.2,6910,23.6,713,United States
6990,601–800,Lehigh University,28.3–35.2,6990,27.4,538,United States
7130,601–800,"University of Maryland, Baltimore County",28.3–35.2,7130,22.9,755,United States
7190,601–800,Montana State University,28.3–35.2,7190,18.6,1031,United States
7310,601–800,"University of Nevada, Las Vegas",28.3–35.2,7310,28.7,490,United States
7320,601–800,New Mexico State University (Main campus),28.3–35.2,7320,21.5,827,United States
7340,601–800,University of North Carolina at Greensboro,28.3–35.2,7340,20.9,875,United States
7380,601–800,Ohio University (Main campus),28.3–35.2,7380,28.5,498,United States
7390,601–800,Old Dominion University,28.3–35.2,7390,22.7,762,United States
7490,601–800,Portland State University,28.3–35.2,7490,21.1,857,United States
7720,601–800,University of South Dakota,28.3–35.2,7720,31.2,407,United States
7760,601–800,Stevens Institute of Technology,28.3–35.2,7760,22.5,777,United States
7840,601–800,University of Texas at Arlington,28.3–35.2,7840,21.0,868,United States
7850,601–800,Texas Tech University,28.3–35.2,7850,30.8,418,United States
7890,601–800,University of Toledo,28.3–35.2,7890,33.7,347,United States
7990,601–800,Western Washington University,28.3–35.2,7990,16.2,1244,United States
8010,601–800,West Virginia University,28.3–35.2,8010,27.8,525,United States
8030,601–800,Worcester Polytechnic Institute,28.3–35.2,8030,20.1,930,United States
8560,801–1000,Embry-Riddle Aeronautical University,22.2–28.2,8560,16.9,1170,United States
8630,801–1000,Florida Atlantic University,22.2–28.2,8630,21.0,865,United States
8640,801–1000,Florida Institute of Technology,22.2–28.2,8640,22.7,760,United States
9080,801–1000,Louisiana Tech University,22.2–28.2,9080,17.3,1137,United States
9120,801–1000,Marquette University,22.2–28.2,9120,36.0,289,United States
9140,801–1000,Mississippi State University,22.2–28.2,9140,21.8,806,United States
9280,801–1000,The New School,22.2–28.2,9280,23.9,693,United States
9510,801–1000,Rochester Institute of Technology,22.2–28.2,9510,20.0,933,United States
9830,801–1000,University of Texas at El Paso,22.2–28.2,9830,21.0,869,United States
10540,1001+,"California State University, Long Beach",10.7–22.1,10540,23.1,746,United States
12420,1001+,University of North Carolina Wilmington,10.7–22.1,12420,15.9,1259,United States
12450,1001+,University of North Florida,10.7–22.1,12450,24.8,643,United States
12470,1001+,Oakland University,10.7–22.1,12470,25.5,610,United States
13450,1001+,Texas State University,10.7–22.1,13450,17.4,1132,United States
