period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,county,year,ppsf_year_avg
2017-06-01,2017-06-30,30,county,5,714,f,"Bond County, IL",,Illinois,IL,All Residential,-1,104550.0,-0.0251748251748251,0.2121739130434783,94900.0,0.4488549618320609,0.1877346683354193,65.02732240437159,0.0265027322404371,0.1121722130973181,65.17391304347827,0.261683366733467,0.2168260149148888,8.0,-0.3846153846153845,-0.5555555555555555,,,,17.0,0.2142857142857141,-0.3928571428571429,81.0,-0.0581395348837209,-0.2831858407079646,10.1,3.5,3.8,66.0,-18.0,-22.0,0.9326174119763776,0.0050567966207714,0.0100629346306986,0.125,0.048076923076923,0.125,0.2098765432098765,-0.0924490381854722,0.0417349502895225,0.2222222222222222,-0.1111111111111111,0.2222222222222222,"St. Louis, MO",41180.0,2022-01-09 14:29:56,Bond,2017,62.24504756303124
2017-12-01,2017-12-31,30,county,5,1475,f,"Marshall County, MN",,Minnesota,MN,Single Family Residential,6,94750.0,0.1697530864197531,-0.0013175230566534,104500.0,,-0.0813186813186813,69.29863291470434,0.5638736263736263,0.2255778490737323,73.90888535184136,,0.4728303468815815,2.0,0.0,0.0,,,,4.0,,1.0,12.0,0.0,-0.1999999999999999,6.0,0.0,-1.5,177.0,38.0,103.0,0.9226502515608194,-0.0117598761266191,-0.0687055264191622,0.0,0.0,0.0,,,,,,,Minnesota nonmetropolitan area,,2022-01-09 14:29:56,Marshall,2017,70.46387009581339
2017-05-01,2017-05-31,30,county,5,2547,f,"Benton County, TN",,Tennessee,TN,All Residential,-1,50100.0,,,89900.0,,,34.40934065934066,,,79.98220640569393,,,1.0,,,,,,1.0,,,4.0,,,4.0,,,95.0,,,0.9099990918172736,,,0.0,,,,,,,,,Tennessee nonmetropolitan area,,2022-01-09 14:29:56,Benton,2017,48.850933700890394
2017-03-01,2017-03-31,30,county,5,1879,f,"White Pine County, NV",,Nevada,NV,Single Family Residential,6,118000.0,0.9666666666666665,-0.1972789115646258,137000.0,0.454352441613588,0.5239154616240266,75.99382550335571,1.015177377543886,-0.3194330738255033,88.60759493670886,0.2027312703623003,0.4624105668684643,9.0,1.25,0.2857142857142858,1.0,0.0,-0.5,14.0,0.75,0.2727272727272727,70.0,0.0144927536231884,0.0294117647058822,7.8,-9.5,-1.8999999999999997,200.0,-62.0,30.0,0.9511630996087757,0.0934585755433117,0.0036067266938158,0.0,0.0,0.0,,,,0.0,0.0,0.0,Nevada nonmetropolitan area,,2022-01-09 14:29:56,White Pine,2017,73.00209058144661
2017-01-01,2017-01-31,30,county,5,2609,f,"Morgan County, TN",,Tennessee,TN,Single Family Residential,6,146350.0,0.7526946107784431,1.121014492753623,109950.0,0.8478991596638656,-0.3231763619575254,62.738952929875126,0.3966333768248118,0.3093346698408723,61.65674603174603,0.1854675203414699,-0.2089233193842956,8.0,0.3333333333333332,-0.2727272727272727,,,,8.0,1.6666666666666663,0.3333333333333332,64.0,-0.0153846153846153,-0.189873417721519,8.0,-2.8000000000000007,0.7999999999999998,328.0,152.0,99.0,0.9265918748249884,0.0634718874272792,0.0076218019401282,0.125,-0.0416666666666666,0.125,0.109375,0.0786057692307692,0.0207674050632911,,,,"Knoxville, TN",28940.0,2022-01-09 14:29:56,Morgan,2017,65.73494430753342
2017-08-01,2017-08-31,30,county,5,2305,f,"Ottawa County, OK",,Oklahoma,OK,Single Family Residential,6,250000.0,0.3888888888888888,1.883506343713956,169450.0,-0.425593220338983,1.2623497997329771,132.97872340425533,0.2337470449172576,1.2715281356597703,85.25779071571057,-0.3974152757889609,0.1628970703625063,1.0,-0.6666666666666667,0.0,1.0,-0.5,,2.0,-0.3333333333333333,-0.3333333333333333,12.0,-0.1428571428571429,1.0,12.0,7.3,6.0,181.0,119.0,14.0,0.9293680297397768,0.0853865641224275,0.0536104539822012,0.0,0.0,0.0,,,,0.0,0.0,,"Miami, OK",33060.0,2022-01-09 14:29:56,Ottawa,2017,94.73346351487709
2017-10-01,2017-10-31,30,county,5,1967,f,"Jefferson County, NY",,New York,NY,Multi-Family (2-4 Unit),4,53500.0,-0.5347826086956522,-0.0083410565338276,129450.0,0.0796497080900751,-0.0034642032332563,31.29553690105504,-0.476267852544737,0.3333307343228393,81.0944802458521,0.036002277208156,-0.0412830335379263,2.0,-0.3333333333333333,-0.75,1.0,0.0,0.0,8.0,-0.3333333333333333,0.1428571428571427,72.0,-0.0136986301369863,0.2413793103448276,36.0,11.7,28.7,176.0,-48.0,-133.0,0.896163469557965,-0.0261115031757234,-0.0262163499421587,0.0,0.0,-0.125,,,,1.0,1.0,1.0,"Watertown, NY",48060.0,2022-01-09 14:29:56,Jefferson,2017,67.68958222108355
2017-06-01,2017-06-30,30,county,5,370,f,"Cheyenne County, CO",,Colorado,CO,All Residential,-1,65000.0,,,,,,52.759740259740255,,,,,,1.0,,,,,,,,,,,,,,,105.0,,,0.8135168961201502,,,0.0,,,,,,,,,Colorado nonmetropolitan area,,2022-01-09 14:29:56,Cheyenne,2017,33.511084473798405
2017-05-01,2017-05-31,30,county,5,466,f,"Indian River County, FL",,Florida,FL,All Residential,-1,223000.0,0.0372093023255815,0.1599479843953186,228195.0,-0.0078478260869565,0.1438345864661654,128.34036568213784,0.0520344975777464,0.1430871097398422,131.16057233704294,0.0042357835913149,0.0604653043423455,428.0,0.1536388140161724,0.192200557103064,231.0,0.0,0.1492537313432835,411.0,0.0098280098280099,0.2268656716417909,1642.0,-0.0266745702430349,0.0518898142216528,3.8,-0.7000000000000001,-0.5,90.0,10.0,-2.0,0.95841166676185,0.0014388604715378,0.0017171605510272,0.072429906542056,-0.0084326271506662,-0.025063129669643,,,,0.1082251082251082,-0.0086580086580086,-0.0062027524714091,"Sebastian, FL",42680.0,2022-01-09 14:29:56,Indian River,2017,144.75541161900364
2017-01-01,2017-01-31,30,county,5,2615,f,"Putnam County, TN",,Tennessee,TN,Single Family Residential,6,192000.0,0.136094674556213,0.3333333333333332,238000.0,0.8307692307692307,0.1615422157149828,108.54475703324808,0.2106915207554593,0.0492659846547314,101.01867572156198,-0.0096208262591963,0.131356943972464,4.0,-0.1999999999999999,3.0,,,,1.0,-0.8,-0.8333333333333333,21.0,-0.125,0.3999999999999999,5.3,0.5,-9.7,81.0,-208.0,58.0,0.968429896922416,0.0084814917168175,0.008429896922416,0.0,0.0,0.0,,,,,,,"Cookeville, TN",18260.0,2022-01-09 14:29:56,Putnam,2017,100.93111264681689
2017-02-01,2017-02-28,30,county,5,1951,f,"Chautauqua County, NY",,New York,NY,All Residential,-1,74950.0,-0.0006666666666667,0.1103703703703704,82000.0,0.0947930574098798,0.0485933503836317,50.4486255567242,-0.0695074454497154,0.1188384067913499,60.81661891117479,-0.0092990024048207,0.1257628282737108,56.0,-0.1111111111111111,-0.1384615384615384,3.0,-0.4,-0.7272727272727272,61.0,-0.0161290322580645,0.0166666666666666,564.0,0.0089445438282647,-0.0903225806451612,10.1,1.1999999999999993,0.5999999999999996,236.0,58.0,-9.0,0.8842051044408709,-0.0371564184931421,-0.0268578696761675,0.125,0.0297619047619047,0.048076923076923,,,,0.0,-0.2,0.0,"Jamestown, NY",27460.0,2022-01-09 14:29:56,Chautauqua,2017,75.65469978469676
2017-05-01,2017-05-31,30,county,5,3230,f,"Waukesha County, WI",,Wisconsin,WI,Condo/Co-op,3,159900.0,-0.2473523181925159,-0.1774691358024691,299900.0,0.0169548999660902,0.0425864766208934,118.41469308844852,-0.062750415831421,-0.0105718186393479,144.89795918367346,0.0179017552760949,0.0434342833343248,103.0,0.2875,-0.0964912280701754,94.0,0.46875,0.2207792207792207,115.0,-0.0170940170940171,-0.0254237288135593,274.0,-0.0318021201413427,-0.1517027863777089,2.7,-0.7999999999999998,-0.0999999999999996,54.0,-14.0,-22.0,0.99556139176079,0.002423441959066,0.0198670792918351,0.3009708737864077,-0.0240291262135922,0.1781638562425481,0.1642335766423357,0.0158236826494028,0.0372985921222119,0.1063829787234042,-0.0498670212765957,-0.0494611771207515,"Milwaukee, WI",33340.0,2022-01-09 14:29:56,Waukesha,2017,123.6085580636982
2017-10-01,2017-10-31,30,county,5,3023,f,"Surry County, VA",,Virginia,VA,All Residential,-1,227000.0,-0.0340425531914894,,142450.0,-0.2299999999999999,,112.15415019762844,0.2354904524934136,,114.2530487804878,0.0277696476964768,,3.0,0.0,,1.0,,,4.0,0.3333333333333332,,27.0,0.0384615384615385,,9.0,0.3000000000000007,,132.0,-540.0,,0.9366523265588684,-0.0306294787169648,,0.3333333333333333,0.0,,,,,0.0,,,Virginia nonmetropolitan area,,2022-01-09 14:29:56,Surry,2017,87.4514303493445
2017-10-01,2017-10-31,30,county,5,2982,f,"Isle of Wight County, VA",,Virginia,VA,Townhouse,13,142000.0,-0.3369907785689272,-0.1542584871947587,297450.0,0.1902761104441776,0.0256896551724137,104.25844346549192,-0.0825642683752709,0.0488101372568998,133.3208131339355,0.0012084099252351,0.0065122630629679,3.0,-0.25,-0.25,1.0,0.0,-0.6666666666666667,1.0,-0.6666666666666667,-0.6666666666666667,7.0,-0.2222222222222222,-0.125,2.3,0.0,0.2999999999999998,63.0,-12.0,-18.0,0.9751590936052512,0.002893283875085,0.0133594624245124,0.0,0.0,0.0,0.1428571428571428,-0.1904761904761904,-0.1071428571428571,0.0,0.0,-0.6666666666666666,"Virginia Beach, VA",47260.0,2022-01-09 14:29:56,Isle of Wight,2017,118.3123363830873
2017-08-01,2017-08-31,30,county,5,853,f,"Jennings County, IN",,Indiana,IN,Single Family Residential,6,98000.0,0.1592351413852859,-0.0666666666666666,111700.0,0.3156654888103651,0.752156862745098,70.48872180451127,0.2865985812426521,-0.0069120586275817,58.85667903525047,-0.145919569241124,0.0607582334009055,31.0,1.5833333333333337,0.631578947368421,23.0,0.5333333333333334,0.769230769230769,26.0,-0.0714285714285713,-0.0714285714285713,71.0,-0.0533333333333333,-0.2365591397849462,2.3,-4.0,-2.6000000000000005,28.0,-2.0,-28.0,0.9471443773395826,0.0352800973398295,-0.0135087841985783,0.1290322580645161,-0.1209677419354838,-0.0288624787775891,0.1971830985915492,0.0505164319248826,0.014387399666818,0.3043478260869565,-0.1623188405797101,0.1505016722408026,"North Vernon, IN",35860.0,2022-01-09 14:29:56,Jennings,2017,59.400579864986845
2017-11-01,2017-11-30,30,county,5,2273,f,"Grady County, OK",,Oklahoma,OK,Single Family Residential,6,185000.0,-0.0093708165997322,0.5040650406504065,154450.0,0.0303535690460305,-0.0639393939393939,100.35934291581108,-0.0020519521162128,0.2356242299794661,82.51613221560108,0.0783901944729317,-0.1111551499415723,41.0,-0.2407407407407407,-0.0465116279069767,32.0,0.0,0.6,52.0,-0.2463768115942028,0.0,234.0,-0.0330578512396694,-0.025,5.7,1.2000000000000002,0.1000000000000005,34.0,-22.0,-72.0,0.9751804563019052,-0.0126024285398155,0.0359511245213418,0.2439024390243902,0.0031616982836495,0.1508791832104367,0.1623931623931624,-0.0318217136398954,0.0248931623931623,0.34375,-0.09375,0.09375,"Oklahoma City, OK",36420.0,2022-01-09 14:29:56,Grady,2017,92.67582977421087
2017-05-01,2017-05-31,30,county,5,424,f,"Yuma County, CO",,Colorado,CO,All Residential,-1,148000.0,0.8159509202453987,2.7948717948717947,,,,73.70517928286851,-0.0232933297484906,0.9427929308407396,,,,1.0,0.0,0.0,1.0,,,,,,6.0,-0.1428571428571429,-0.3333333333333333,6.0,-1.0,-3.0,42.0,-57.0,31.0,0.9932885906040269,0.0344650611922621,-0.5792920545572634,0.0,0.0,-1.0,0.1666666666666666,0.0238095238095238,,0.0,,,Colorado nonmetropolitan area,,2022-01-09 14:29:56,Yuma,2017,56.781029173825665
2017-06-01,2017-06-30,30,county,5,2573,f,"Grainger County, TN",,Tennessee,TN,Condo/Co-op,3,149000.0,,,,,,106.12535612535612,,,,,,1.0,,,,,,,,,,,,,,,,,,0.9619109102646868,,,0.0,,,,,,,,,"Morristown, TN",34100.0,2022-01-09 14:29:56,Grainger,2017,94.06582161658466
2017-04-01,2017-04-30,30,county,5,370,f,"Cheyenne County, CO",,Colorado,CO,Single Family Residential,6,35000.0,,,,,,14.26242868785656,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,147.0,,,0.909090909090909,,,0.0,,,,,,,,,Colorado nonmetropolitan area,,2022-01-09 14:29:56,Cheyenne,2017,33.511084473798405
2017-11-01,2017-11-30,30,county,5,449,f,"DeSoto County, FL",,Florida,FL,Single Family Residential,6,179550.0,0.2644366197183099,1.5288732394366198,169000.0,-0.0337335620354488,0.0059523809523809,79.04055076307526,-0.2394321540192609,0.5380863932274104,95.86681974741677,-0.1357515759374391,-0.1107561235356763,14.0,-0.2631578947368421,0.5555555555555555,11.0,0.2222222222222223,-0.2666666666666667,27.0,0.125,-0.1290322580645161,83.0,0.0506329113924051,-0.0879120879120879,5.9,1.7000000000000002,-4.199999999999999,75.0,45.0,62.0,0.956640972756454,-0.0324047032076604,-0.0867173798043411,0.1428571428571428,-0.0676691729323308,-0.1904761904761904,0.1566265060240963,-0.0459051395455238,-0.0301866807890904,0.6363636363636364,0.0808080808080807,0.103030303030303,"Arcadia, FL",11580.0,2022-01-09 14:29:56,DeSoto,2017,94.09325762012807
2017-10-01,2017-10-31,30,county,5,2885,f,"Williamson County, TX",,Texas,TX,Condo/Co-op,3,255000.0,0.1333333333333333,0.2439024390243902,270000.0,-0.0178246635140051,-0.0181818181818181,148.75156576200416,0.036054655532359,0.018479390191523,137.89521439638264,0.0163701201762167,0.0339003263786883,25.0,-0.4186046511627906,0.3888888888888888,21.0,-0.2222222222222222,-0.3225806451612903,32.0,0.3333333333333332,-0.2727272727272727,71.0,0.0,-0.3603603603603603,2.8,1.1,-3.4000000000000004,33.0,-14.0,-8.0,0.9771127385981968,-0.0102353767415046,0.0057011817444228,0.12,0.0269767441860465,0.12,0.352112676056338,0.056338028169014,0.0908514147950767,0.5238095238095238,0.1904761904761905,0.0076804915514593,"Austin, TX",12420.0,2022-01-09 14:29:56,Williamson,2017,138.53667368254102
2017-06-01,2017-06-30,30,county,5,1647,f,"Jackson County, MO",,Missouri,MO,Single Family Residential,6,165000.0,-0.0294117647058823,0.0185185185185186,162900.0,0.0055555555555555,0.1234482758620689,102.86243739162646,-0.0125398685551458,0.0544584112752108,103.89337925310764,0.0229501957229059,0.1275472791459844,1160.0,0.1417322834645669,0.0810810810810811,,,,1208.0,0.0709219858156029,-0.0057613168724279,,,,1.9,-0.2000000000000001,-0.7000000000000001,34.0,0.0,-11.0,,,,,,,0.2191528545119705,0.0256807636888863,-0.0004036703880658,0.3403361344537815,-0.0574416433239962,0.0818566022900388,"Kansas City, MO",28140.0,2022-01-09 14:29:56,Jackson,2017,103.03249738790898
2017-10-01,2017-10-31,30,county,5,666,f,"Kauai County, HI",,Hawaii,HI,Multi-Family (2-4 Unit),4,731500.0,,,560000.0,,,217.80818603430023,,,418.59122401847577,,,2.0,,,,,,1.0,,,9.0,,,4.5,,,155.0,,,0.9786951506213744,,,0.5,,,0.1111111111111111,,,,,,"Kapaa, HI",28180.0,2022-01-09 14:29:56,Kauai,2017,404.68100328231674
2017-12-01,2017-12-31,30,county,5,3166,f,"Bayfield County, WI",,Wisconsin,WI,Condo/Co-op,3,259000.0,,0.6834579135521612,154950.0,,,160.96954630205096,,0.1896415993370623,105.15873015873017,,,1.0,,-0.5,,,,1.0,,,6.0,,-0.1428571428571429,6.0,,2.5,829.0,,662.0,0.8662207357859532,,-0.0752292330095533,0.0,,0.0,,,,,,,Wisconsin nonmetropolitan area,,2022-01-09 14:29:56,Bayfield,2017,109.76701990759747
