rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,location
30,3,Stanford University,94.7,30,93.6,2,United States
40,4,Massachusetts Institute of Technology,94.2,40,91.9,4,United States
50,5,California Institute of Technology,94.1,50,94.5,1,United States
60,6,Harvard University,93.6,60,90.1,8,United States
70,7,Princeton University,92.3,70,89.9,9,United States
80,8,Yale University,91.3,80,91.6,6,United States
100,10,The University of Chicago,90.2,100,90.2,7,United States
120,=12,Johns Hopkins University,89.0,120,81.9,19,United States
130,=12,University of Pennsylvania,89.0,130,87.4,12,United States
150,15,"University of California, Berkeley",87.7,150,78.7,23,United States
160,16,Columbia University,87.2,160,85.4,14,United States
170,17,"University of California, Los Angeles",86.4,170,82.6,18,United States
180,18,Duke University,85.4,180,84.1,15,United States
190,19,Cornell University,85.1,190,79.7,21,United States
200,20,University of Michigan-Ann Arbor,84.1,200,80.0,20,United States
240,24,Carnegie Mellon University,82.0,240,69.0,38,United States
250,25,Northwestern University,81.7,250,69.0,39,United States
270,27,New York University,81.0,270,77.7,25,United States
280,28,University of Washington,80.4,280,70.7,33,United States
300,30,"University of California, San Diego",79.7,300,65.4,45,United States
340,34,Georgia Institute of Technology,77.5,340,62.5,53,United States
390,39,University of Texas at Austin,75.4,390,68.8,40,United States
440,43,University of Wisconsin-Madison,73.9,440,70.3,34,United States
500,50,University of Illinois at Urbana-Champaign,72.3,500,63.2,49,United States
520,52,"University of California, Santa Barbara",71.5,520,50.9,96,United States
530,53,Brown University,71.4,530,67.3,43,United States
550,54,Washington University in St Louis,70.9,550,63.1,51,United States
560,56,University of North Carolina at Chapel Hill,70.0,560,62.2,55,United States
590,=59,"University of California, Davis",68.5,590,59.3,63,United States
640,64,Purdue University West Lafayette,67.4,640,61.6,57,United States
660,66,University of Southern California,67.0,660,53.2,92,United States
710,=71,University of Minnesota,65.3,710,56.8,72,United States
720,=71,Ohio State University (Main campus),65.3,720,56.7,74,United States
740,=74,Boston University,65.0,740,56.3,77,United States
810,81,Penn State (Main campus),63.8,810,53.2,91,United States
820,=82,"University of Maryland, College Park",63.7,820,47.8,121,United States
840,=84,Emory University,63.6,840,56.0,79,United States
860,86,Rice University,63.5,860,50.9,97,United States
950,=93,Michigan State University,62.8,950,56.5,76,United States
960,=96,"University of California, Irvine",62.7,960,44.5,153,United States
990,=99,Dartmouth College,62.4,990,59.6,62,United States
1070,107,University of Virginia (Main campus),61.0,1070,53.8,89,United States
1090,109,Georgetown University,60.7,1090,56.0,80,United States
1130,=110,University of Pittsburgh-Pittsburgh campus,60.3,1130,47.8,123,United States
1140,=114,University of Colorado Boulder,59.9,1140,45.0,144,United States
1220,=121,Vanderbilt University,59.1,1220,46.5,131,United States
1240,=123,Arizona State University (Tempe),59.0,1240,42.7,173,United States
1330,=132,Case Western Reserve University,58.5,1330,49.2,109,United States
1470,=146,Indiana University,57.3,1470,49.4,108,United States
1520,152,Tufts University,56.8,1520,48.8,112,United States
1570,=156,University of Florida,56.5,1570,55.3,84,United States
1590,=159,University of Arizona,56.2,1590,43.4,165,United States
1640,=163,University of Rochester,55.9,1640,45.1,143,United States
1680,=167,"University of California, Santa Cruz",55.6,1680,33.5,336,United States
1730,=171,Texas A&M University,55.4,1730,51.6,94,United States
1740,173,University of Notre Dame,55.3,1740,50.4,102,United States
1780,=176,Rutgers University – New Brunswick,54.9,1780,45.4,140,United States
1790,179,University of Alabama at Birmingham,54.8,1790,39.4,221,United States
1820,=181,George Washington University,54.5,1820,49.9,107,United States
1850,=184,"Northeastern University, US",54.4,1850,37.0,262,United States
2060,201–250,Brandeis University,49.5–53.0,2060,28.5,472,United States
2070,201–250,University at Buffalo,49.5–53.0,2070,40.7,203,United States
2080,201–250,"University of California, Riverside",49.5–53.0,2080,29.5,444,United States
2160,201–250,University of Hawai’i at Mānoa,49.5–53.0,2160,35.5,296,United States
2190,201–250,University of Iowa,49.5–53.0,2190,42.9,171,United States
2260,201–250,University of Massachusetts,49.5–53.0,2260,36.6,268,United States
2290,201–250,University of Miami,49.5–53.0,2290,41.6,186,United States
2450,201–250,University of Utah,49.5–53.0,2450,36.5,273,United States
2480,201–250,William & Mary,49.5–53.0,2480,47.8,124,United States
2540,251–300,University of Cincinnati – Uptown,46.4–49.4,2540,37.2,254,United States
2550,251–300,Clark University,46.4–49.4,2550,25.1,589,United States
2560,251–300,Colorado School of Mines,46.4–49.4,2560,32.9,350,United States
2580,251–300,University of Delaware,46.4–49.4,2580,28.5,473,United States
2610,251–300,Florida State University,46.4–49.4,2610,38.4,238,United States
2650,251–300,University of Illinois Chicago,46.4–49.4,2650,44.6,152,United States
2730,251–300,North Carolina State University,46.4–49.4,2730,37.3,253,United States
2740,251–300,Oregon Health and Science University,46.4–49.4,2740,35.1,305,United States
2850,251–300,University of South Florida (Tampa),46.4–49.4,2850,30.6,420,United States
2860,251–300,Stony Brook University,46.4–49.4,2860,34.2,321,United States
2910,251–300,Syracuse University,46.4–49.4,2910,32.0,384,United States
2930,251–300,University of Texas at Dallas,46.4–49.4,2930,23.7,655,United States
2980,251–300,Virginia Polytechnic Institute and State University,46.4–49.4,2980,34.8,309,United States
3000,251–300,Wake Forest University,46.4–49.4,3000,41.3,193,United States
3020,301–350,University of Alaska Fairbanks,44.0–46.3,3020,27.9,488,United States
3040,301–350,American University,44.0–46.3,3040,43.1,169,United States
3090,301–350,Boston College,44.0–46.3,3090,36.1,281,United States
3120,301–350,University of Colorado Denver/Anschutz Medical Campus,44.0–46.3,3120,33.6,334,United States
3130,301–350,University of Connecticut,44.0–46.3,3130,36.7,265,United States
3160,301–350,University of Denver,44.0–46.3,3160,40.2,212,United States
3180,301–350,George Mason University,44.0–46.3,3180,29.0,462,United States
3210,301–350,University of Houston,44.0–46.3,3210,38.8,231,United States
3330,301–350,University of New Mexico (Main campus),44.0–46.3,3330,27.8,498,United States
