rank_order,rank,name,scores_overall,scores_overall_rank,scores_teaching,scores_teaching_rank,location
3340,301–350,Oregon State University,44.0–46.3,3340,31.3,400,United States
3430,301–350,The University of Tennessee-Knoxville,44.0–46.3,3430,33.7,331,United States
3450,301–350,Tulane University,44.0–46.3,3450,43.2,168,United States
3510,301–350,Washington State University,44.0–46.3,3510,31.3,401,United States
3520,301–350,Wayne State University,44.0–46.3,3520,33.7,332,United States
3580,351–400,"University of California, Merced",41.7–43.9,3580,16.2,1053,United States
3640,351–400,Drexel University,41.7–43.9,3640,36.2,279,United States
3680,351–400,Hofstra University,41.7–43.9,3680,37.9,244,United States
3730,351–400,Iowa State University,41.7–43.9,3730,28.8,467,United States
3760,351–400,University of Kansas,41.7–43.9,3760,37.2,255,United States
3850,351–400,University of Nebraska-Lincoln,41.7–43.9,3850,32.2,373,United States
3880,351–400,Rensselaer Polytechnic Institute,41.7–43.9,3880,27.9,493,United States
3890,351–400,Rush University,41.7–43.9,3890,34.6,313,United States
3950,351–400,Temple University,41.7–43.9,3950,34.0,325,United States
3980,351–400,University of Vermont,41.7–43.9,3980,27.9,494,United States
4010,401–500,The University of Alabama,37.1–41.6,4010,26.1,550,United States
4020,401–500,University of Alabama in Huntsville,37.1–41.6,4020,20.7,791,United States
4170,401–500,"Colorado State University, Fort Collins",37.1–41.6,4170,29.0,461,United States
4240,401–500,Florida International University,37.1–41.6,4240,28.9,466,United States
4270,401–500,University of Georgia,37.1–41.6,4270,33.6,335,United States
4280,401–500,Georgia State University,37.1–41.6,4280,32.0,380,United States
4420,401–500,University of Kentucky,37.1–41.6,4420,27.4,513,United States
4530,401–500,University of Montana,37.1–41.6,4530,37.9,246,United States
4570,401–500,University of Nebraska Medical Center,37.1–41.6,4570,37.5,249,United States
4580,401–500,New Mexico Institute of Mining and Technology,37.1–41.6,4580,23.6,662,United States
4590,401–500,Northern Arizona University,37.1–41.6,4590,18.6,918,United States
4610,401–500,University of Oklahoma,37.1–41.6,4610,34.8,308,United States
4810,401–500,University of South Carolina-Columbia,37.1–41.6,4810,32.9,352,United States
4840,401–500,SUNY University at Albany,37.1–41.6,4840,21.7,754,United States
4930,401–500,The University of Tulsa,37.1–41.6,4930,33.4,341,United States
5020,401–500,University of Wisconsin-Milwaukee,37.1–41.6,5020,19.6,864,United States
5220,501–600,Creighton University,33.5–37.0,5220,40.5,211,United States
5300,501–600,University of Idaho,33.5–37.0,5300,31.8,390,United States
5380,501–600,Kent State University,33.5–37.0,5380,21.3,764,United States
5430,501–600,Lehigh University,33.5–37.0,5430,28.1,482,United States
5480,501–600,Louisiana State University,33.5–37.0,5480,33.0,347,United States
5500,501–600,"University of Maryland, Baltimore County",33.5–37.0,5500,23.4,675,United States
5530,501–600,Missouri University of Science and Technology,33.5–37.0,5530,23.7,653,United States
5540,501–600,Montana State University,33.5–37.0,5540,17.7,977,United States
5610,501–600,New Jersey Institute of Technology,33.5–37.0,5610,18.0,962,United States
5650,501–600,Oklahoma State University,33.5–37.0,5650,26.0,559,United States
5760,501–600,Saint Louis University,33.5–37.0,5760,36.6,269,United States
5790,501–600,San Diego State University,33.5–37.0,5790,23.4,677,United States
5870,501–600,Stevens Institute of Technology,33.5–37.0,5870,20.8,788,United States
5880,501–600,SUNY Binghamton University,33.5–37.0,5880,23.0,700,United States
5900,501–600,The University of Texas at San Antonio,33.5–37.0,5900,17.2,1007,United States
5920,501–600,University of Toledo,33.5–37.0,5920,36.0,286,United States
5990,501–600,Worcester Polytechnic Institute,33.5–37.0,5990,20.9,784,United States
6100,601–800,University of Arkansas,26.0–33.4,6100,25.2,584,United States
6120,601–800,Auburn University,26.0–33.4,6120,32.8,354,United States
6150,601–800,Baylor University,26.0–33.4,6150,31.1,404,United States
6270,601–800,University of Central Florida,26.0–33.4,6270,27.8,496,United States
6410,601–800,University of Dayton,26.0–33.4,6410,30.5,422,United States
6500,601–800,Embry-Riddle Aeronautical University,26.0–33.4,6500,14.9,1140,United States
6580,601–800,Fordham University,26.0–33.4,6580,41.0,199,United States
6870,601–800,Kansas State University,26.0–33.4,6870,24.0,641,United States
7020,601–800,Louisiana Tech University,26.0–33.4,7020,17.7,975,United States
7060,601–800,Marquette University,26.0–33.4,7060,36.1,284,United States
7120,601–800,Mississippi State University,26.0–33.4,7120,21.0,777,United States
7250,601–800,"University of Nevada, Las Vegas",26.0–33.4,7250,29.4,453,United States
7260,601–800,New Mexico State University (Main campus),26.0–33.4,7260,21.8,746,United States
7280,601–800,University of North Carolina at Greensboro,26.0–33.4,7280,21.2,769,United States
7320,601–800,Old Dominion University,26.0–33.4,7320,22.8,705,United States
7440,601–800,Portland State University,26.0–33.4,7440,19.8,841,United States
7510,601–800,Rochester Institute of Technology,26.0–33.4,7510,19.6,860,United States
7570,601–800,University of San Diego,26.0–33.4,7570,37.4,252,United States
7670,601–800,University of South Alabama,26.0–33.4,7670,31.4,398,United States
7680,601–800,University of South Dakota,26.0–33.4,7680,30.4,435,United States
7820,601–800,University of Texas at Arlington,26.0–33.4,7820,19.3,888,United States
7830,601–800,University of Texas at El Paso,26.0–33.4,7830,19.6,863,United States
7840,601–800,Texas Tech University,26.0–33.4,7840,30.5,427,United States
7930,601–800,Western Washington University,26.0–33.4,7930,14.7,1159,United States
7950,601–800,West Virginia University,26.0–33.4,7950,18.9,909,United States
8360,801–1000,"California Polytechnic State University, San Luis Obispo",19.0–25.9,8360,15.8,1077,United States
8580,801–1000,East Carolina University,19.0–25.9,8580,20.9,781,United States
8720,801–1000,Florida Atlantic University,19.0–25.9,8720,17.5,985,United States
8730,801–1000,Florida Institute of Technology,19.0–25.9,8730,24.6,611,United States
9360,801–1000,Oakland University,19.0–25.9,9360,21.0,778,United States
9790,801–1000,Texas State University,19.0–25.9,9790,17.4,994,United States
12090,1001+,University of Southern Mississippi,9.8–18.9,12090,19.8,842,United States
