period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated,county,year,ppsf_year_avg
2019-05-01,2019-05-31,30,county,5,1586,f,"Tate County, MS",,Mississippi,MS,Single Family Residential,6,165000.0,-0.1446345256609642,-0.0462427745664739,181444.0,-0.0902782652293807,0.0679458505002943,85.0,-0.159572072072072,-0.1021287761996916,95.38211462450592,-0.0504213950939127,-0.0694427841511616,19.0,0.0,-0.05,6.0,-0.3333333333333333,-0.4,18.0,-0.1818181818181817,-0.1428571428571429,80.0,-0.036144578313253,-0.024390243902439,4.2,-0.2000000000000001,0.1000000000000005,117.0,17.0,-36.0,0.9812828823361454,0.0068873878541334,0.0187384739823053,0.1578947368421052,-0.0526315789473684,0.1078947368421052,,,,0.0,-0.1111111111111111,-0.1,"Memphis, TN",32820.0,2022-01-09 14:29:56,Tate,2019,92.2527797031159
2019-12-01,2019-12-31,30,county,5,163,f,"Madison County, AL",,Alabama,AL,Multi-Family (2-4 Unit),4,78500.0,-0.1648936170212765,-0.076470588235294,,,,34.8800153819586,-0.2704194895784308,-0.1210236123746433,,,,4.0,1.0,0.3333333333333332,1.0,-0.6666666666666667,,,,,8.0,-0.1111111111111111,0.1428571428571427,2.0,-2.5,-0.2999999999999998,9.0,-157.0,-141.0,0.9674019607843136,-0.0215208810797046,0.101210106398099,0.0,0.0,0.0,0.125,,,0.0,-0.6666666666666666,,"Huntsville, AL",26620.0,2022-01-09 14:29:56,Madison,2019,93.7322328573205
2019-03-01,2019-03-31,30,county,5,1493,f,"Red Lake County, MN",,Minnesota,MN,All Residential,-1,60000.0,0.4634146341463414,-0.2928697701826753,87700.0,,-0.4988571428571428,35.1288056206089,0.5628034500485521,-0.4452898403534997,70.78524780819467,,0.4140870076425631,1.0,0.0,-0.5,,,,4.0,,3.0,9.0,0.8,3.5,9.0,4.0,8.0,115.0,64.0,-96.0,0.9244992295839752,-0.1005007704160245,-0.0128264738018138,0.0,-1.0,0.0,,,,,,,Minnesota nonmetropolitan area,,2022-01-09 14:29:56,Red Lake,2019,60.37375844535653
2019-11-01,2019-11-30,30,county,5,1366,f,"Clinton County, MI",,Michigan,MI,Single Family Residential,6,228050.0,0.2582068965517241,0.1927301255230125,206250.0,-0.0812917594654788,0.0787133891213389,112.2953030518454,0.0179498214850499,0.0248246117636585,113.34388185654008,-0.0951538843385455,-0.0906582278481012,71.0,-0.1547619047619047,-0.0138888888888888,54.0,-0.1818181818181817,0.125,51.0,-0.495049504950495,-0.1052631578947368,249.0,-0.1263157894736841,-0.0158102766798419,3.5,0.1,0.0,74.0,7.0,2.0,0.9864970460711142,0.0031557418080435,0.0001940567739607,0.2676056338028168,-0.0062038900067069,-0.0101721439749609,,,,0.1481481481481481,0.0117845117845117,-0.0393518518518518,"Lansing, MI",29620.0,2022-01-09 14:29:56,Clinton,2019,116.11112947857542
2019-08-01,2019-08-31,30,county,5,2427,f,"York County, PA",,Pennsylvania,PA,All Residential,-1,182200.0,-0.0254078630649906,-0.0323951141795008,188900.0,-0.0205838129309897,0.0800457404230989,102.7619145910738,0.0102201173525853,0.0276191459107379,104.13110276544896,0.0253532313867013,0.0413110276544896,674.0,0.0498442367601246,0.0196671709531013,494.0,-0.1697478991596638,0.0313152400835072,675.0,-0.0816326530612244,0.007462686567164,1511.0,0.0195681511470984,-0.144878324844369,2.2,-0.0999999999999996,-0.5,22.0,-2.0,-10.0,0.9819319120491714,0.000934413742905,0.0026375283270675,0.1943620178041543,-0.0018996644388363,0.0188703385303267,0.3017868960953011,-0.0268230904094222,0.1529470545559689,0.5040485829959515,-0.0102371312897627,0.1032135099270579,"York, PA",49620.0,2022-01-09 14:29:56,York,2019,89.1882769067839
2019-11-01,2019-11-30,30,county,5,1229,f,"Woodford County, KY",,Kentucky,KY,Townhouse,13,122000.0,,,148950.0,,,84.13793103448275,,,117.543470720624,,,1.0,,,,,,1.0,,,1.0,,,1.0,,,6.0,,,0.9037037037037036,,,0.0,,,,,,,,,"Lexington, KY",30460.0,2022-01-09 14:29:56,Woodford,2019,109.12933429750252
2019-12-01,2019-12-31,30,county,5,531,f,"Cherokee County, GA",,Georgia,GA,Townhouse,13,229000.0,0.0725995316159251,0.2148541114058355,293275.0,-0.0224166666666666,-0.005839032534174,128.19515594905965,0.0336822076978473,0.127138348630599,132.7178729689808,0.0222160575433034,0.0253246139407259,49.0,0.3611111111111111,0.8846153846153845,22.0,-0.3714285714285714,0.375,27.0,0.08,0.4210526315789473,88.0,-0.0434782608695651,-0.12,1.8,-0.8,-2.0,43.0,28.0,25.0,0.987877875456002,-0.0103456334597682,-0.0035046382447651,0.2653061224489796,-0.0402494331065759,0.1114599686028257,0.1136363636363636,-0.1146245059288537,0.0836363636363636,0.5,-0.0142857142857142,0.0625,"Atlanta, GA",12060.0,2022-01-09 14:29:56,Cherokee,2019,135.0053398098389
2019-04-01,2019-04-30,30,county,5,2565,f,"DeKalb County, TN",,Tennessee,TN,All Residential,-1,163900.0,-0.1328042328042328,-0.0815354441019893,179937.5,-0.0215470364328439,-0.277359437751004,126.07692307692308,0.5342694342694343,0.1658236183932617,118.50049388044408,-0.0643680417922523,0.4381867168943858,11.0,2.6666666666666665,0.375,7.0,1.3333333333333337,1.3333333333333337,10.0,-0.3333333333333333,9.0,34.0,0.0,1.8333333333333333,3.1,-8.200000000000001,1.6,69.0,20.0,-88.0,0.942208706687995,-0.0075474615681421,-0.0182232029121084,0.0909090909090909,0.0909090909090909,0.0909090909090909,,,,0.0,-0.3333333333333333,0.0,Tennessee nonmetropolitan area,,2022-01-09 14:29:56,DeKalb,2019,114.61273043197826
2019-01-01,2019-01-31,30,county,5,1386,f,"Kalamazoo County, MI",,Michigan,MI,All Residential,-1,158000.0,0.0006333122229258,-0.0036260444584581,159950.0,0.0123417721518988,0.0003126954346466,103.09278350515464,0.0128026814688901,0.0191607731448117,112.55924170616112,0.0813411068840641,0.0740947247777465,215.0,-0.2124542124542124,-0.0315315315315315,200.0,0.0256410256410255,0.0471204188481675,262.0,0.4719101123595506,0.1054852320675105,555.0,-0.0765391014975042,0.0818713450292398,2.6,0.3999999999999999,0.3000000000000002,39.0,6.0,-3.0,0.9751204478732008,0.0024853099346687,-0.0047129726499934,0.1860465116279069,-0.0007666751852798,0.0058663314477268,0.218018018018018,0.0416453058715953,-0.0509878299351983,0.4899999999999999,0.0899999999999999,-0.0283246073298429,"Kalamazoo, MI",28020.0,2022-01-09 14:29:56,Kalamazoo,2019,109.8446885779216
2019-07-01,2019-07-31,30,county,5,2723,f,"Galveston County, TX",,Texas,TX,Townhouse,13,200000.0,0.1111111111111111,0.0446591799425437,255000.0,-0.0019569471624266,0.0204081632653061,137.042369598673,0.0326289495477536,0.1101906808713044,125.30906593406591,-0.0394721063038154,0.0317059749531014,17.0,0.6999999999999998,0.6999999999999998,17.0,1.4285714285714284,-0.0555555555555555,23.0,0.1499999999999999,0.4375,43.0,0.0749999999999999,0.0238095238095237,2.5,-1.5,-1.7000000000000002,25.0,-17.0,-3.0,0.988983079387222,0.0074066590377872,0.0184275402902945,0.1764705882352941,0.0764705882352941,0.1764705882352941,0.2790697674418604,0.0540697674418604,-0.1971207087486157,0.4705882352941176,-0.1008403361344537,0.0816993464052287,"Houston, TX",26420.0,2022-01-09 14:29:56,Galveston,2019,136.76810060023442
